complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,dataSize,nCores
1236579,65,68,238817,1109112,12843,20208,1100227,1136222,783000000,120
673095,65,68,151890,512540,11209,14274,534739,566745,783000000,120
924705,66,68,237228,692796,12843,20577,771182,818004,783000000,120
668007,65,68,194716,514072,11559,14154,534165,566968,783000000,120
585865,65,68,130416,410825,11754,14615,436451,484562,783000000,120
651629,65,68,143530,493874,12124,14544,502535,543215,783000000,120
841762,65,68,177759,640879,12856,20697,647438,726450,783000000,120
1291963,66,69,246269,1004088,11809,16128,1007177,1181565,783000000,120
759529,65,68,168649,557878,12799,18145,572114,648995,783000000,120
769006,65,68,165324,615309,11454,13130,617106,669836,783000000,120
888696,65,68,262012,668794,11416,13682,743386,778827,783000000,120
677484,65,68,150446,516799,11651,17091,510183,567174,783000000,120
523039,65,68,129850,401707,10906,12902,389376,421390,783000000,120
1161512,64,68,281509,939766,11553,17222,1028032,1061873,783000000,120
882880,65,68,170811,710204,11897,15190,697765,779827,783000000,120
642624,65,68,167084,534158,11213,15075,510555,544277,783000000,120
700962,65,68,153229,488013,11759,16625,552970,589526,783000000,120
554017,65,68,126890,439184,11093,13093,413067,448792,783000000,120
1015554,65,68,277296,840770,11960,16714,814341,904124,783000000,120
771770,65,68,242100,618265,11115,14140,617306,665006,783000000,120
