complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,dataSize,nCores
26276,4,4,13996,15743,1332,1439,2867,2915,48547566,60
25777,4,4,13499,14860,1404,1421,2896,2925,48547566,60
25298,4,4,12761,13738,1221,1394,2997,3179,48547566,60
24865,4,4,13634,16201,1415,1439,3433,3697,48547566,60
25620,4,4,14108,15827,1348,1433,2726,2865,48547566,60
33661,4,4,14583,20686,2932,4832,2784,2920,48547566,60
25295,4,4,13263,15353,1337,1416,2732,2894,48547566,60
23961,4,4,12536,13626,1344,1402,2695,2871,48547566,60
25310,4,4,12902,13641,1312,1448,2763,2909,48547566,60
24914,4,4,13632,15459,1327,1415,2670,2834,48547566,60
24283,4,4,13358,15993,1351,1440,3327,3682,48547566,60
27792,4,4,13556,14859,1393,1418,2796,2852,48547566,60
25204,4,4,13639,15604,1210,1398,3016,3274,48547566,60
26090,4,4,14083,15999,1413,1427,2852,2892,48547566,60
27185,4,4,15185,16056,1331,1403,2739,2873,48547566,60
27006,4,4,13995,16035,1408,1422,2809,2872,48547566,60
25131,4,4,12790,13727,1242,1406,2706,2881,48547566,60
23507,4,4,12344,13246,1327,1413,2691,2891,48547566,60
26909,4,4,13949,15908,1325,1431,2708,2885,48547566,60
24409,4,4,13726,15885,1421,1446,3382,3706,48547566,60
