complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,dataSize,nCores
25455,4,4,14167,16829,1338,1429,2772,2916,48547566,80
27493,4,4,14231,15871,1491,1661,2853,3112,48547566,80
25206,4,4,14305,15867,1421,1457,3568,3963,48547566,80
24827,4,4,13254,15471,1403,1423,2990,3358,48547566,80
26001,4,4,13594,14919,1359,1439,2808,3042,48547566,80
25056,4,4,12923,14197,1331,1413,3044,4143,48547566,80
25825,4,4,13324,14679,1410,1436,2931,3386,48547566,80
24785,4,4,13817,15810,1349,1439,2795,3000,48547566,80
25896,4,4,13313,15626,1419,1455,3077,3789,48547566,80
29064,4,4,14838,18806,1377,1443,5597,5796,48547566,80
25617,4,4,13301,14752,1393,1425,2933,3481,48547566,80
26190,4,4,13424,14517,1404,1593,2946,3412,48547566,80
24916,4,4,13123,15192,1344,1423,2842,3388,48547566,80
25067,4,4,13198,15328,1366,1439,2879,3428,48547566,80
25548,4,4,12539,13416,1337,1439,2958,3395,48547566,80
25688,4,4,13325,14442,1328,1431,2814,3390,48547566,80
27106,4,4,14174,14885,1402,1425,2929,3284,48547566,80
26394,4,4,14579,15998,1437,1472,3142,3368,48547566,80
24759,4,4,13661,16014,1273,1413,2782,2849,48547566,80
25721,4,4,14884,15935,1434,1446,2992,3474,48547566,80
