complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,dataSize,nCores
89466,3,3,53619,66412,7259,7327,35579,35850,31321566,100
73230,3,3,45006,56473,7174,7249,32959,33238,31321566,100
76413,3,3,47767,60134,7084,7210,33688,33830,31321566,100
73155,3,3,46624,56998,7374,7767,30179,30319,31321566,100
81255,3,3,49849,64741,7180,7735,38983,39539,31321566,100
79775,3,3,49586,63898,7101,7249,36462,37084,31321566,100
80469,3,3,50884,64206,7170,7465,34070,34641,31321566,100
75013,3,3,46560,58554,7207,7274,33815,34047,31321566,100
81904,3,3,50969,65919,7107,7304,38472,38630,31321566,100
79904,3,3,49428,60485,7233,7366,35134,35430,31321566,100
77232,3,3,47640,60699,6970,7250,36471,36881,31321566,100
78029,3,3,47576,61432,7097,7135,37188,37453,31321566,100
78414,3,3,46836,61149,7162,7184,36095,36314,31321566,100
76157,3,3,47438,59409,7045,7129,33373,33598,31321566,100
77229,3,3,49298,61082,7107,7157,32317,32421,31321566,100
75646,3,3,47683,58940,7027,7232,32391,32651,31321566,100
78033,3,3,48997,62223,7108,7261,35596,36069,31321566,100
77802,3,3,47711,62081,6951,7037,35994,36138,31321566,100
77255,3,3,48013,60764,7190,7350,35346,35427,31321566,100
79451,3,3,46986,62673,7319,7678,38225,38412,31321566,100
