complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,dataSize,nCores
358072,591,619,47237,88558,2649,11021,26969,210728,720000376,120
304006,591,619,27202,84853,2531,4025,37373,229772,720000376,120
314119,591,619,31699,87975,2539,4091,36030,232218,720000376,120
364220,591,619,39437,86047,2363,3637,39838,277660,720000376,120
279767,591,619,24929,82081,2473,4065,33861,205217,720000376,120
345782,591,619,41124,92383,2566,4101,34473,261852,720000376,120
408552,591,619,42151,84764,2532,4315,48276,327575,720000376,120
358857,591,619,31100,144125,2387,3995,46275,282827,720000376,120
322246,591,619,32586,82910,2588,3927,37560,240014,720000376,120
321055,591,619,29081,85751,2505,4083,39526,244182,720000376,120
329336,591,619,32216,86760,2404,3994,38494,244466,720000376,120
410698,591,619,44276,93644,2298,4280,46473,312787,720000376,120
358184,591,619,30490,85529,2377,4247,46575,275905,720000376,120
342199,591,619,42244,88296,2477,4278,32795,252542,720000376,120
386448,591,619,45103,85901,2393,4411,40336,301657,720000376,120
344096,591,619,33251,106319,2427,6056,40423,262607,720000376,120
367698,591,619,38424,86497,2496,3843,42016,278368,720000376,120
319094,591,619,27969,81860,2591,4179,40426,242948,720000376,120
407704,591,619,30744,89658,2968,12697,57311,325470,720000376,120
346383,591,619,36802,88539,2543,4344,38118,262519,720000376,120
