complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,dataSize,nCores
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,1
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,2
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,3
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,4
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,5
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,6
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,7
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,8
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,9
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,10
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,11
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,12
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,13
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,14
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,15
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,16
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,17
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,18
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,19
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,20
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,21
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,22
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,23
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,24
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,25
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,26
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,27
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,28
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,29
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,30
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,31
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,32
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,33
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,34
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,35
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,36
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,37
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,38
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,39
30250,381,400,25191,85761,2400,11857,28041,266717,720007118,40
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,1
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,2
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,3
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,4
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,5
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,6
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,7
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,8
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,9
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,10
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,11
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,12
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,13
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,14
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,15
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,16
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,17
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,18
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,19
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,20
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,21
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,22
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,23
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,24
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,25
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,26
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,27
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,28
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,29
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,30
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,31
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,32
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,33
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,34
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,35
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,36
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,37
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,38
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,39
30500,757,793,42664,88084,2685,12358,29407,802599,1439977468,40
