complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
814861,1560,1009,43164,3197,44789,2879987999,100
833077,1560,1009,43157,3616,46910,2879987999,100
968736,1560,1009,44221,3108,65279,2879987999,100
820745,1560,1009,43101,3142,44545,2879987999,100
805884,1560,1009,42637,3245,44475,2879987999,100
840916,1560,1009,43085,3038,48260,2879987999,100
840391,1560,1009,43683,3186,47878,2879987999,100
874625,1560,1009,43230,3120,52892,2879987999,100
822212,1560,1009,42799,3203,46190,2879987999,100
824858,1560,1009,43783,3125,45415,2879987999,100
919377,1560,1009,43882,3080,58719,2879987999,100
821487,1560,1009,42981,3212,46067,2879987999,100
816379,1560,1009,42775,3118,45443,2879987999,100
803994,1560,1009,42468,3143,44148,2879987999,100
925920,1560,1009,43488,3096,60456,2879987999,100
829963,1560,1009,43131,3203,45773,2879987999,100
826594,1560,1009,42753,3129,47121,2879987999,100
810689,1560,1009,42604,3112,44929,2879987999,100
820818,1560,1009,43290,3209,45414,2879987999,100
812867,1560,1009,42509,2958,44815,2879987999,100
