complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
1794684,1183,1009,44266,6078,199463,1439980416,120
1808807,1183,1009,43763,6408,202187,1439980416,120
1918429,1183,1009,43782,6326,219955,1439980416,120
1837854,1183,1009,42340,6176,208953,1439980416,120
1759267,1183,1009,42860,6419,196503,1439980416,120
1905325,1183,1009,42572,6120,219766,1439980416,120
3371924,1183,1009,43189,8261,426447,1439980416,120
2859638,1183,1009,43475,7581,351660,1439980416,120
3355708,1183,1009,43672,8357,428138,1439980416,120
3358566,1183,1009,42092,7982,427348,1439980416,120
2849818,1183,1009,41463,7697,351643,1439980416,120
3505357,1183,1009,44255,7695,447627,1439980416,120
3467863,1183,1009,43311,9458,437694,1439980416,120
3000269,1183,1009,44032,7789,369618,1439980416,120
3172743,1183,1009,41921,7709,401946,1439980416,120
3771084,1183,1009,43350,9347,481693,1439980416,120
3164587,1183,1009,41945,8117,397931,1439980416,120
2872871,1183,1009,43092,8214,358485,1439980416,120
4089494,1183,1009,45610,8569,524333,1439980416,120
2881439,1183,1009,41952,8021,356425,1439980416,120
