complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
10250,144,151,22686,2427,13325,180006827,1
10250,144,151,22686,2427,13325,180006827,2
10250,144,151,22686,2427,13325,180006827,3
10250,144,151,22686,2427,13325,180006827,4
10250,144,151,22686,2427,13325,180006827,5
10250,144,151,22686,2427,13325,180006827,6
10250,144,151,22686,2427,13325,180006827,7
10250,144,151,22686,2427,13325,180006827,8
10250,144,151,22686,2427,13325,180006827,9
10250,144,151,22686,2427,13325,180006827,10
10250,144,151,22686,2427,13325,180006827,11
10250,144,151,22686,2427,13325,180006827,12
10250,144,151,22686,2427,13325,180006827,13
10250,144,151,22686,2427,13325,180006827,14
10250,144,151,22686,2427,13325,180006827,15
10250,144,151,22686,2427,13325,180006827,16
10250,144,151,22686,2427,13325,180006827,17
10250,144,151,22686,2427,13325,180006827,18
10250,144,151,22686,2427,13325,180006827,19
10250,144,151,22686,2427,13325,180006827,20
10250,144,151,22686,2427,13325,180006827,21
10250,144,151,22686,2427,13325,180006827,22
10250,144,151,22686,2427,13325,180006827,23
10250,144,151,22686,2427,13325,180006827,24
10250,144,151,22686,2427,13325,180006827,25
10250,144,151,22686,2427,13325,180006827,26
10250,144,151,22686,2427,13325,180006827,27
10250,144,151,22686,2427,13325,180006827,28
10250,144,151,22686,2427,13325,180006827,29
10250,144,151,22686,2427,13325,180006827,30
10250,144,151,22686,2427,13325,180006827,31
10250,144,151,22686,2427,13325,180006827,32
10250,144,151,22686,2427,13325,180006827,33
10250,144,151,22686,2427,13325,180006827,34
10250,144,151,22686,2427,13325,180006827,35
10250,144,151,22686,2427,13325,180006827,36
10250,144,151,22686,2427,13325,180006827,37
10250,144,151,22686,2427,13325,180006827,38
10250,144,151,22686,2427,13325,180006827,39
10250,144,151,22686,2427,13325,180006827,40
10500,287,300,41641,1909,26102,360014110,1
10500,287,300,41641,1909,26102,360014110,2
10500,287,300,41641,1909,26102,360014110,3
10500,287,300,41641,1909,26102,360014110,4
10500,287,300,41641,1909,26102,360014110,5
10500,287,300,41641,1909,26102,360014110,6
10500,287,300,41641,1909,26102,360014110,7
10500,287,300,41641,1909,26102,360014110,8
10500,287,300,41641,1909,26102,360014110,9
10500,287,300,41641,1909,26102,360014110,10
10500,287,300,41641,1909,26102,360014110,11
10500,287,300,41641,1909,26102,360014110,12
10500,287,300,41641,1909,26102,360014110,13
10500,287,300,41641,1909,26102,360014110,14
10500,287,300,41641,1909,26102,360014110,15
10500,287,300,41641,1909,26102,360014110,16
10500,287,300,41641,1909,26102,360014110,17
10500,287,300,41641,1909,26102,360014110,18
10500,287,300,41641,1909,26102,360014110,19
10500,287,300,41641,1909,26102,360014110,20
10500,287,300,41641,1909,26102,360014110,21
10500,287,300,41641,1909,26102,360014110,22
10500,287,300,41641,1909,26102,360014110,23
10500,287,300,41641,1909,26102,360014110,24
10500,287,300,41641,1909,26102,360014110,25
10500,287,300,41641,1909,26102,360014110,26
10500,287,300,41641,1909,26102,360014110,27
10500,287,300,41641,1909,26102,360014110,28
10500,287,300,41641,1909,26102,360014110,29
10500,287,300,41641,1909,26102,360014110,30
10500,287,300,41641,1909,26102,360014110,31
10500,287,300,41641,1909,26102,360014110,32
10500,287,300,41641,1909,26102,360014110,33
10500,287,300,41641,1909,26102,360014110,34
10500,287,300,41641,1909,26102,360014110,35
10500,287,300,41641,1909,26102,360014110,36
10500,287,300,41641,1909,26102,360014110,37
10500,287,300,41641,1909,26102,360014110,38
10500,287,300,41641,1909,26102,360014110,39
10500,287,300,41641,1909,26102,360014110,40
