complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
10250,144,151,10126,1293,4630,180006827,1
10250,144,151,10126,1293,4630,180006827,2
10250,144,151,10126,1293,4630,180006827,3
10250,144,151,10126,1293,4630,180006827,4
10250,144,151,10126,1293,4630,180006827,5
10250,144,151,10126,1293,4630,180006827,6
10250,144,151,10126,1293,4630,180006827,7
10250,144,151,10126,1293,4630,180006827,8
10250,144,151,10126,1293,4630,180006827,9
10250,144,151,10126,1293,4630,180006827,10
10250,144,151,10126,1293,4630,180006827,11
10250,144,151,10126,1293,4630,180006827,12
10250,144,151,10126,1293,4630,180006827,13
10250,144,151,10126,1293,4630,180006827,14
10250,144,151,10126,1293,4630,180006827,15
10250,144,151,10126,1293,4630,180006827,16
10250,144,151,10126,1293,4630,180006827,17
10250,144,151,10126,1293,4630,180006827,18
10250,144,151,10126,1293,4630,180006827,19
10250,144,151,10126,1293,4630,180006827,20
10250,144,151,10126,1293,4630,180006827,21
10250,144,151,10126,1293,4630,180006827,22
10250,144,151,10126,1293,4630,180006827,23
10250,144,151,10126,1293,4630,180006827,24
10250,144,151,10126,1293,4630,180006827,25
10250,144,151,10126,1293,4630,180006827,26
10250,144,151,10126,1293,4630,180006827,27
10250,144,151,10126,1293,4630,180006827,28
10250,144,151,10126,1293,4630,180006827,29
10250,144,151,10126,1293,4630,180006827,30
10250,144,151,10126,1293,4630,180006827,31
10250,144,151,10126,1293,4630,180006827,32
10250,144,151,10126,1293,4630,180006827,33
10250,144,151,10126,1293,4630,180006827,34
10250,144,151,10126,1293,4630,180006827,35
10250,144,151,10126,1293,4630,180006827,36
10250,144,151,10126,1293,4630,180006827,37
10250,144,151,10126,1293,4630,180006827,38
10250,144,151,10126,1293,4630,180006827,39
10250,144,151,10126,1293,4630,180006827,40
