complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
536183,757,793,45729,2535,29630,1439977468,80
555798,757,793,45436,2415,32530,1439977468,80
529760,757,793,43804,2441,29803,1439977468,80
515459,757,793,37366,2521,32855,1439977468,80
519288,757,793,38774,3023,31066,1439977468,80
528211,757,793,40849,3129,31448,1439977468,80
520328,757,793,37294,2410,33879,1439977468,80
511411,757,793,36058,2473,33760,1439977468,80
538716,757,793,40159,2645,35159,1439977468,80
460527,757,793,28163,2574,34183,1439977468,80
486735,757,793,35348,2446,31030,1439977468,80
530905,757,793,44703,2383,28822,1439977468,80
527134,757,793,44848,2479,28800,1439977468,80
527019,757,793,44603,3076,27685,1439977468,80
534497,757,793,43923,3218,29605,1439977468,80
649072,757,793,46408,2384,44260,1439977468,80
527247,757,793,44642,2879,27348,1439977468,80
524550,757,793,43841,2390,29012,1439977468,80
478767,757,793,34789,2638,30606,1439977468,80
533600,757,793,40348,2347,33620,1439977468,80
