complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,dataSize,nCores
389847,381,400,50736,84903,2331,3885,30020,253384,720007118,60
266103,381,400,23555,81380,2350,3715,27462,187091,720007118,60
172682,381,400,15122,31707,2288,3677,15724,102251,720007118,60
295699,381,400,27604,81377,2513,4754,30922,215142,720007118,60
320104,381,400,19361,77628,2444,4075,44066,241201,720007118,60
274189,381,400,24061,66713,2361,4438,29484,198695,720007118,60
280086,381,400,28700,80074,2191,3385,24900,157250,720007118,60
246776,381,400,20215,50255,2260,4113,26597,171634,720007118,60
345631,381,400,29461,79051,2214,4024,38525,266717,720007118,60
258725,381,400,22750,69127,2292,4185,27447,184786,720007118,60
263140,381,400,24643,81394,2344,3759,25953,179651,720007118,60
243985,381,400,20962,65584,2276,4045,25276,163582,720007118,60
313993,381,400,30383,84833,2319,4009,31622,233476,720007118,60
191100,381,400,16343,33815,2413,3966,18628,113157,720007118,60
243821,381,400,22218,80828,2247,3491,23941,164648,720007118,60
222129,381,400,16268,35479,2363,3729,24965,146888,720007118,60
300939,381,400,23647,84151,2846,11113,31933,216520,720007118,60
261741,381,400,25226,78993,2344,3553,24938,181014,720007118,60
289785,381,400,25767,78742,3347,11857,28975,201780,720007118,60
333210,381,400,36794,85761,2257,4136,29448,203982,720007118,60
