complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,dataSize,nCores
596453,868,910,43033,85397,3202,4666,28826,415515,1079995733,80
617564,868,910,43522,87622,3323,5451,30935,432415,1079995733,80
607336,868,910,43790,85757,3300,5526,29631,424279,1079995733,80
623388,868,910,43584,85593,3089,4599,31458,441637,1079995733,80
632195,868,910,45123,90602,3200,4948,31591,447067,1079995733,80
609552,868,910,44009,86415,3354,4940,29698,426910,1079995733,80
633637,868,910,44348,87331,3263,5725,32639,446498,1079995733,80
636005,868,910,43430,84699,3246,5068,33617,452596,1079995733,80
608607,868,910,43864,85961,3283,4550,29353,422604,1079995733,80
613917,868,910,43186,86343,3153,4888,30774,430550,1079995733,80
610758,868,910,43981,86531,3223,5101,30001,424068,1079995733,80
608042,868,910,43478,87497,3774,13422,28975,416375,1079995733,80
628063,868,910,44365,86817,2996,10810,29157,436327,1079995733,80
618023,868,910,43502,85160,3286,5672,31419,436057,1079995733,80
596981,868,910,43015,85605,3303,5178,29140,413350,1079995733,80
601201,868,910,42581,87687,3360,5551,29901,416029,1079995733,80
619411,868,910,44864,86517,3122,5401,30230,434866,1079995733,80
682793,868,910,44510,85994,3292,5167,38391,498499,1079995733,80
614306,868,910,43899,90559,3263,5722,30620,428854,1079995733,80
602682,868,910,43728,86008,3299,4853,29053,420473,1079995733,80
