complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,dataSize,nCores
702759,65,68,148201,525183,11480,17945,521358,596851,783000000,100
757755,65,68,176316,594484,11391,14968,588515,654085,783000000,100
642577,65,68,180693,508898,11403,13287,505577,531909,783000000,100
697601,65,68,161918,523515,11554,14289,543342,590872,783000000,100
774852,65,69,169855,628383,12549,19061,619775,667760,783000000,100
537061,64,68,138003,393076,11666,13085,400527,437425,783000000,100
619667,65,68,156017,481059,12948,19703,453430,499440,783000000,100
918644,65,68,288021,768613,11526,13469,765336,814508,783000000,100
680644,64,68,173379,555960,11769,13568,538451,574139,783000000,100
626945,65,68,152569,486740,11788,13156,476660,518405,783000000,100
792485,65,68,182672,650425,11236,13893,633209,687091,783000000,100
690441,65,68,149507,540397,11329,12900,529533,579177,783000000,100
636579,64,68,172675,513468,11528,13929,497448,532391,783000000,100
644371,65,68,204787,497856,11204,13267,522995,540392,783000000,100
570007,64,68,138789,431227,11283,13776,424333,469071,783000000,100
641054,64,68,167190,542679,11234,18127,490882,538177,783000000,100
764924,66,68,238735,640822,10961,13353,625519,667336,783000000,100
702510,66,68,205139,587986,11301,13087,582314,599445,783000000,100
1261311,65,68,230825,1137499,10987,13132,1061969,1136183,783000000,100
534517,64,68,138964,386799,11284,13067,388696,432708,783000000,100
