complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
24882,3,3,13688,1437,4567,31321566,80
26851,3,3,13530,1435,5955,31321566,80
24505,3,3,13244,1417,4483,31321566,80
23027,3,3,11285,1433,4406,31321566,80
24072,3,3,12056,1419,4401,31321566,80
26071,3,3,12009,1424,3694,31321566,80
23033,3,3,12075,1333,2739,31321566,80
24325,3,3,12357,1365,4899,31321566,80
22288,3,3,11541,1399,3349,31321566,80
22893,3,3,11622,1340,3535,31321566,80
23374,3,3,11743,1434,3926,31321566,80
23183,3,3,11827,1330,2925,31321566,80
21990,3,3,11607,1337,3155,31321566,80
24880,3,3,13417,1433,5432,31321566,80
24786,3,3,13546,1426,4701,31321566,80
23721,3,3,12422,1423,5391,31321566,80
23182,3,3,11819,1425,4083,31321566,80
25100,3,3,13172,1413,5494,31321566,80
22022,3,3,11924,1337,3349,31321566,80
23710,3,3,12221,1384,4489,31321566,80
