complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
501520,868,910,43816,3416,29193,1079995733,120
484801,868,910,43753,3194,29149,1079995733,120
484555,868,910,43372,3208,28616,1079995733,120
498157,868,910,42903,3247,32115,1079995733,120
596851,868,910,45335,3157,45381,1079995733,120
504590,868,910,45340,2988,31070,1079995733,120
490509,868,910,44186,3167,29628,1079995733,120
525059,868,910,44858,3196,34504,1079995733,120
481321,868,910,44174,3245,28382,1079995733,120
495976,868,910,44748,3868,28521,1079995733,120
500927,868,910,45079,3127,30922,1079995733,120
535494,868,910,38351,3155,41502,1079995733,120
498713,868,910,44343,3290,30578,1079995733,120
505114,868,910,45162,3157,30850,1079995733,120
579184,868,910,45042,3033,42798,1079995733,120
497092,868,910,44675,3237,30424,1079995733,120
495017,868,910,44379,3221,30210,1079995733,120
505421,868,910,45328,3329,31263,1079995733,120
491133,868,910,44484,3545,27066,1079995733,120
485787,868,910,43791,3209,29201,1079995733,120
