complTime,nM,nR,Mavg,Ravg,SHavg,dataSize,nCores
83021,4,4,57442,8098,21955,48547566,120
79817,4,4,57207,8117,13556,48547566,120
80748,4,4,56699,8032,17292,48547566,120
78109,4,4,55138,8199,12435,48547566,120
84839,4,4,59515,7956,22312,48547566,120
84099,4,4,56924,8219,20097,48547566,120
78223,4,4,55141,8489,16043,48547566,120
79891,4,4,55186,8157,16614,48547566,120
84822,4,4,57657,8186,24275,48547566,120
80958,4,4,56592,7982,17263,48547566,120
83407,4,4,58895,8074,17505,48547566,120
94370,4,4,56008,12265,20872,48547566,120
83848,4,4,57791,7929,22119,48547566,120
77833,4,4,54519,8039,16688,48547566,120
83025,4,4,58152,7998,17559,48547566,120
78890,4,4,54865,8058,15960,48547566,120
83306,4,4,57784,8086,20137,48547566,120
97338,4,4,60025,10065,27991,48547566,120
86814,4,4,59999,7994,24892,48547566,120
79378,4,4,55594,8061,18552,48547566,120
