Application class: default
complTime,nM1,M1avg,M1max,nR2,R2avg,R2max,S2avg,S2max,S2Bavg,S2Bmax,nR3,R3avg,R3max,S3avg,S3max,S3Bavg,S3Bmax,nM4,M4avg,M4max,nR5,R5avg,R5max,S5avg,S5max,S5Bavg,S5Bmax,users,dataSize,nCores
230293,100,45720,102427,11,1578,2363,29425,33618,205567,205567,1,1159,1159,5799,5799,8895,8895,1,62132,62132,1,1015,1015,3107,3107,224871,224871,1,50,20
222213,100,40853,110433,12,1932,5760,32344,41833,540171,3551611,1,303,303,9893,9893,8895,8895,1,37892,37892,1,2349,2349,6811,6811,224871,224871,1,50,20
233749,100,47815,107224,11,2011,4589,29085,39758,205567,205567,1,637,637,12644,12644,8895,8895,1,47203,47203,1,1669,1669,2224,2224,224871,224871,1,50,20
262695,100,55146,121294,10,4511,5777,41840,49290,205567,205567,1,968,968,4781,4781,8895,8895,1,64213,64213,1,4372,4372,8652,8652,224871,224871,1,50,20
255983,100,52141,121068,10,2232,4912,37458,44906,205567,205567,1,679,679,12025,12025,8895,8895,1,55995,55995,1,5672,5672,14057,14057,224871,224871,1,50,20
255964,100,51369,100059,10,3281,4578,25593,35472,205567,205567,1,906,906,13699,13699,8895,8895,1,51316,51316,1,2826,2826,6125,6125,224871,224871,1,50,20
232275,100,47210,97864,11,3789,6482,29608,35409,536144,3511338,1,359,359,6806,6806,8895,8895,1,57169,57169,1,5222,5222,8123,8123,224871,224871,1,50,20
240250,100,48690,102291,11,2433,5422,27979,35934,205567,205567,1,268,268,5769,5769,8895,8895,1,63977,63977,1,2102,2102,4899,4899,224871,224871,1,50,20
247094,100,53716,106599,10,2827,4223,27665,36083,205567,205567,1,372,372,12625,12625,8895,8895,1,54748,54748,1,4659,4659,10081,10081,224871,224871,1,50,20
250853,100,51970,130357,10,3676,6082,31457,38225,205567,205567,1,293,293,7586,7586,8895,8895,1,50339,50339,1,3043,3043,10337,10337,224871,224871,1,50,20
250747,100,51843,110488,12,3171,5077,26428,35261,205567,205567,1,298,298,10355,10355,8895,8895,1,65716,65716,1,2461,2461,8595,8595,224871,224871,1,50,20
228976,100,46828,119133,11,2040,5182,24760,30702,534951,3499407,1,846,846,6848,6848,8895,8895,1,44198,44198,1,1268,1268,1990,1990,224871,224871,1,50,20
233352,100,49517,109611,10,3063,6047,29525,31542,205567,205567,1,866,866,2075,2075,8895,8895,1,59279,59279,1,1830,1830,5889,5889,224871,224871,1,50,20
233143,100,44619,100679,12,1823,2740,37590,46303,205567,205567,1,268,268,9260,9260,8895,8895,1,28279,28279,1,724,724,1743,1743,224871,224871,1,50,20
244370,100,52936,110074,10,1626,2670,36611,40581,205567,205567,1,322,322,5299,5299,8895,8895,1,53649,53649,1,1926,1926,5445,5445,224871,224871,1,50,20
231065,100,45755,101874,10,2288,3496,30057,39332,205567,205567,1,1602,1602,14974,14974,8895,8895,1,71087,71087,1,831,831,2036,2036,224871,224871,1,50,20
269040,100,54782,131701,10,2248,2944,41916,53457,205567,205567,1,231,231,23868,23868,8895,8895,1,60450,60450,1,1063,1063,2181,2181,224871,224871,1,50,20
258459,100,51392,122207,11,2726,4779,29156,34801,205567,205567,1,291,291,16067,16067,8895,8895,1,70512,70512,1,3926,3926,11337,11337,224871,224871,1,50,20
238665,100,50352,110624,10,2209,3551,28938,34907,205567,205567,1,306,306,7521,7521,8895,8895,1,55192,55192,1,3697,3697,3420,3420,224871,224871,1,50,20
248226,100,52822,127091,10,4123,5530,32248,38391,205567,205567,1,809,809,6461,6461,8895,8895,1,55877,55877,1,4118,4118,5119,5119,224871,224871,1,50,20

