Application class: Q4
complTime,nM1,M1avg,M1max,nR2,R2avg,R2max,S2avg,S2max,S2Bavg,S2Bmax,nR3,R3avg,R3max,S3avg,S3max,S3Bavg,S3Bmax,users,dataSize,nCores
349199,25,103983,148942,17,2671,6390,60748,116999,17589384,17720077,1,382,382,22891,22891,5069,5069,1,50,8
394072,25,106048,150069,22,3433,9742,67075,133364,17589384,17720077,1,1260,1260,57733,57733,5069,5069,1,50,8
377660,25,108553,170610,16,2878,5751,85748,120241,17589384,17720077,1,623,623,29338,29338,5069,5069,1,50,8
388052,25,106345,166198,20,3496,7029,70891,130412,17589384,17720077,1,2097,2097,13902,13902,5069,5069,1,50,8
384734,25,108344,178721,19,3080,6082,74816,126010,17589384,17720077,1,615,615,28208,28208,5069,5069,1,50,8
368544,25,101717,160034,19,2821,6366,61580,109125,17589384,17720077,2,1122,1679,1675,1675,5069,5069,1,50,8
374231,25,102104,161188,20,3212,7307,69189,116194,17589384,17720077,1,718,718,30446,30446,5069,5069,1,50,8
367692,25,105045,150167,20,3476,6344,59119,106460,17589384,17720077,1,866,866,39437,39437,5069,5069,1,50,8
358809,25,108209,157676,17,2989,6712,60899,106186,17589384,17720077,1,723,723,26930,26930,5069,5069,1,50,8
396030,25,106887,161678,19,3664,8961,74027,137591,17589384,17720077,1,1012,1012,40728,40728,5069,5069,1,50,8
382861,25,104587,140090,20,3098,8800,67713,140821,17589384,17720077,1,1244,1244,47290,47290,5069,5069,1,50,8
379619,25,104504,153668,18,2718,4612,74107,119548,17589384,17720077,1,312,312,41442,41442,5069,5069,1,50,8
353787,25,100039,163246,14,2414,4936,84631,121694,17589384,17720077,1,681,681,14763,14763,5069,5069,1,50,8
312738,25,76790,158701,15,2118,7519,72812,97188,17589384,17720077,1,1199,1199,22708,22708,5069,5069,1,50,8
309527,25,77593,167776,14,1805,3490,75925,114854,17589384,17720077,1,277,277,28947,28947,5069,5069,1,50,8
406647,25,108227,170727,18,3567,9551,79103,137386,17589384,17720077,1,992,992,41863,41863,5069,5069,1,50,8
371354,25,103051,167678,18,3528,7206,73116,116779,17589384,17720077,1,830,830,29610,29610,5069,5069,1,50,8
382114,25,106462,169308,19,3131,6913,68485,115870,17589384,17720077,1,1153,1153,37075,37075,5069,5069,1,50,8
359328,25,110745,161690,18,3187,6889,71578,132306,17589384,17720077,1,395,395,15804,15804,5069,5069,1,50,8
367306,25,102594,152070,19,3324,7294,67132,106827,17589384,17720077,1,767,767,39546,39546,5069,5069,1,50,8

