Application class: default
complTime,nM1,M1avg,M1max,nR2,R2avg,R2max,S2avg,S2max,S2Bavg,S2Bmax,nR3,R3avg,R3max,S3avg,S3max,S3Bavg,S3Bmax,nM4,M4avg,M4max,nR5,R5avg,R5max,S5avg,S5max,S5Bavg,S5Bmax,users,dataSize,nCores
226438,80,62318,140181,8,2882,5013,25916,29235,172348,172348,1,911,911,4908,4908,7102,7102,1,72090,72090,1,3607,3607,5685,5685,190065,190065,1,40,20
225904,80,59973,104029,8,2097,4073,24662,29542,172348,172348,1,775,775,6320,6320,7102,7102,1,70764,70764,1,4540,4540,13482,13482,190065,190065,1,40,20
220906,80,57828,127982,8,3545,7843,23117,26664,172348,172348,1,1670,1670,4271,4271,7102,7102,1,60785,60785,1,5004,5004,6394,6394,190065,190065,1,40,20
230117,80,53653,115200,8,2650,4062,24298,28784,172348,172348,1,749,749,3314,3314,7102,7102,1,37317,37317,1,1468,1468,3703,3703,190065,190065,1,40,20
223595,80,58818,128318,8,4426,7220,19549,26515,172348,172348,1,1991,1991,11446,11446,7102,7102,1,64721,64721,1,4336,4336,12328,12328,190065,190065,1,40,20
239005,80,56847,105007,8,2946,5624,35503,43073,172348,172348,1,496,496,4906,4906,7102,7102,1,69780,69780,1,4100,4100,8437,8437,190065,190065,1,40,20
227413,80,52848,123952,9,3371,4595,24107,32526,172348,172348,1,245,245,12221,12221,7102,7102,1,21540,21540,1,1293,1293,5377,5377,190065,190065,1,40,20
222964,80,55615,119934,9,2268,3343,21858,28473,172348,172348,1,471,471,6387,6387,7102,7102,1,34455,34455,1,4028,4028,9231,9231,190065,190065,1,40,20
210217,80,55636,106167,8,1967,3369,18508,21010,172348,172348,1,1002,1002,3879,3879,7102,7102,1,68035,68035,1,4545,4545,9777,9777,190065,190065,1,40,20
226466,80,57316,121200,8,3204,6290,23879,28262,172348,172348,1,488,488,3813,3813,7102,7102,1,64744,64744,1,5637,5637,15058,15058,190065,190065,1,40,20
225873,80,55770,119645,8,3724,6385,28647,30488,172348,172348,1,629,629,5956,5956,7102,7102,1,69511,69511,1,4111,4111,9030,9030,190065,190065,1,40,20
229553,80,59624,118349,8,5839,6736,30577,33906,172348,172348,1,810,810,4417,4417,7102,7102,1,33365,33365,1,4710,4710,11167,11167,190065,190065,1,40,20
227663,80,58390,104420,8,2847,4831,22201,29689,172348,172348,1,844,844,12253,12253,7102,7102,1,55601,55601,1,5059,5059,11954,11954,190065,190065,1,40,20
225103,80,57559,124204,8,3260,5364,27423,32451,172348,172348,1,786,786,6462,6462,7102,7102,1,50397,50397,1,3424,3424,6744,6744,190065,190065,1,40,20
230932,80,53695,125498,9,3379,4173,31226,36927,172348,172348,1,894,894,5079,5079,7102,7102,1,27277,27277,1,4737,4737,14259,14259,190065,190065,1,40,20
230928,80,56732,117479,8,4075,5444,27298,33492,172348,172348,1,625,625,9848,9848,7102,7102,1,57203,57203,1,1546,1546,11267,11267,190065,190065,1,40,20
216576,80,55303,114761,8,2846,5141,27535,32904,172348,172348,1,468,468,7104,7104,7102,7102,1,65348,65348,1,5443,5443,10711,10711,190065,190065,1,40,20
228954,80,53654,104712,8,1951,4157,31924,42150,172348,172348,1,283,283,6363,6363,7102,7102,1,49264,49264,1,2549,2549,3918,3918,190065,190065,1,40,20
214323,80,56414,104820,8,3090,4873,22192,24438,172348,172348,1,842,842,3156,3156,7102,7102,1,69963,69963,1,3982,3982,9794,9794,190065,190065,1,40,20
236282,80,58112,117248,8,5353,7351,32089,34051,172348,172348,1,618,618,6005,6005,7102,7102,1,64225,64225,1,3670,3670,7463,7463,190065,190065,1,40,20

