Application class: Q2
complTime,nM1,M1avg,M1max,nR2,R2avg,R2max,S2avg,S2max,S2Bavg,S2Bmax,nR3,R3avg,R3max,S3avg,S3max,S3Bavg,S3Bmax,nM4,M4avg,M4max,nR5,R5avg,R5max,S5avg,S5max,S5Bavg,S5Bmax,users,dataSize,nCores
314871,50,80781,126710,10,2805,4007,40541,50216,205567,205567,1,554,554,7784,7784,8895,8895,1,48590,48590,1,3729,3729,6574,6574,224871,224871,1,50,12
307799,50,78710,119836,10,3706,4950,37164,45954,205567,205567,1,1103,1103,5740,5740,8895,8895,1,57108,57108,1,1437,1437,7520,7520,224871,224871,1,50,12
320104,50,75628,118033,10,4942,8277,29250,41163,205567,205567,1,1783,1783,29299,29299,8895,8895,1,52136,52136,1,1177,1177,4231,4231,224871,224871,1,50,12
298153,50,79922,126140,10,3336,5809,24914,35590,205567,205567,1,383,383,18205,18205,8895,8895,1,39263,39263,1,2414,2414,4776,4776,224871,224871,1,50,12
287114,50,77639,120576,10,3784,5391,26966,34472,205567,205567,1,409,409,4766,4766,8895,8895,1,49857,49857,1,2553,2553,7217,7217,224871,224871,1,50,12
299910,50,75926,121999,10,3405,6125,34188,42193,205567,205567,1,826,826,19829,19829,8895,8895,1,51352,51352,1,2982,2982,5473,5473,224871,224871,1,50,12
280581,50,74816,112891,10,3694,4130,40277,44340,205567,205567,1,827,827,4969,4969,8895,8895,1,52825,52825,1,2587,2587,9425,9425,224871,224871,1,50,12
274090,50,72363,111111,10,2655,3665,31138,36550,205567,205567,1,1120,1120,6602,6602,8895,8895,1,48802,48802,1,3256,3256,4253,4253,224871,224871,1,50,12
295762,50,78507,128503,10,2827,3978,32752,41068,205567,205567,1,417,417,8639,8639,8895,8895,1,52288,52288,1,1800,1800,2068,2068,224871,224871,1,50,12
311567,50,77896,123835,10,3803,5796,31126,40318,205567,205567,1,974,974,7975,7975,8895,8895,1,50868,50868,1,2999,2999,6263,6263,224871,224871,1,50,12
274047,50,71324,103710,10,3400,4594,43097,46955,205567,205567,1,324,324,2561,2561,8895,8895,1,49784,49784,1,2015,2015,6537,6537,224871,224871,1,50,12
294901,50,79731,125361,10,3298,6327,28341,38277,205567,205567,1,325,325,19701,19701,8895,8895,1,45151,45151,1,2124,2124,1721,1721,224871,224871,1,50,12
285958,50,75758,122188,10,3214,4216,31125,34792,205567,205567,1,681,681,5849,5849,8895,8895,1,45905,45905,1,2871,2871,4135,4135,224871,224871,1,50,12
289069,50,75294,120300,10,3057,3748,29096,38443,205567,205567,1,276,276,8081,8081,8895,8895,1,45174,45174,1,2745,2745,5215,5215,224871,224871,1,50,12
276575,50,75322,119332,10,2668,4232,26504,31082,205567,205567,1,333,333,5847,5847,8895,8895,1,53084,53084,1,2169,2169,4408,4408,224871,224871,1,50,12
295588,50,73431,115284,10,5145,7811,25161,34379,205567,205567,1,2146,2146,26520,26520,8895,8895,1,48591,48591,1,2288,2288,5307,5307,224871,224871,1,50,12
290967,50,75835,117508,10,3910,5311,40664,47947,205567,205567,1,932,932,8324,8324,8895,8895,1,37296,37296,1,3045,3045,7079,7079,224871,224871,1,50,12
305217,50,79056,118057,10,3465,4357,37140,45740,205567,205567,1,824,824,6649,6649,8895,8895,1,59499,59499,1,2225,2225,5465,5465,224871,224871,1,50,12
298417,50,76238,119126,10,2861,4116,40265,51738,205567,205567,1,302,302,8008,8008,8895,8895,1,48759,48759,1,2393,2393,7478,7478,224871,224871,1,50,12
292181,50,74459,110656,10,3761,5470,30671,39291,205567,205567,1,2048,2048,19226,19226,8895,8895,1,45722,45722,1,3506,3506,4031,4031,224871,224871,1,50,12

