Application class: Q4
complTime,nM1,M1avg,M1max,nR2,R2avg,R2max,S2avg,S2max,S2Bavg,S2Bmax,nR3,R3avg,R3max,S3avg,S3max,S3Bavg,S3Bmax,users,dataSize,nCores
320638,50,75047,128075,14,2852,4362,60244,91733,21063902,21222333,1,218,218,28536,28536,5069,5069,1,50,12
326540,50,71110,124691,20,2460,4112,40723,87648,21063902,21222333,1,465,465,31835,31835,5069,5069,1,50,12
325057,50,67727,118660,20,2551,6206,45930,84387,21063902,21222333,1,494,494,41719,41719,5069,5069,1,50,12
390214,50,68118,110285,21,4231,8708,75582,105555,21063902,21222333,1,1983,1983,81916,81916,5069,5069,1,50,12
326561,50,72148,127902,20,3164,7421,50661,90174,21063902,21222333,1,699,699,29854,29854,5069,5069,1,50,12
311877,50,71901,125042,17,2642,4894,55666,86669,21063902,21222333,1,849,849,13878,13878,5069,5069,1,50,12
336312,50,74963,115980,19,2892,5324,47476,79538,21063902,21222333,1,357,357,29601,29601,5069,5069,1,50,12
318157,50,68724,118238,23,2838,5735,40130,76851,21063902,21222333,1,486,486,27912,27912,5069,5069,1,50,12
378546,50,69197,118303,27,3826,8763,54937,77332,21063902,21222333,1,1722,1722,36950,36950,5069,5069,1,50,12
323401,50,67846,127746,18,2709,4382,49848,83501,21063902,21222333,1,458,458,35152,35152,5069,5069,1,50,12
358968,50,77381,119304,23,3503,8388,43238,85706,21063902,21222333,1,467,467,34189,34189,5069,5069,1,50,12
334806,50,72100,128561,19,1775,5403,60124,99256,21063902,21222333,1,1690,1690,30351,30351,5069,5069,1,50,12
304175,50,69033,119935,15,2408,4052,63910,94329,21063902,21222333,1,2295,2295,5923,5923,5069,5069,1,50,12
333876,50,67697,115368,18,2258,7028,67091,109615,21063902,21222333,1,2025,2025,36135,36135,5069,5069,1,50,12
326150,50,68033,105284,22,2338,6311,34858,87315,21063902,21222333,1,626,626,29466,29466,5069,5069,1,50,12
327882,50,71328,125518,23,2100,3771,44906,79478,21063902,21222333,1,342,342,22931,22931,5069,5069,1,50,12
306871,50,70063,113577,21,2438,4788,34904,75193,21063902,21222333,1,636,636,22923,22923,5069,5069,1,50,12
368693,50,66765,108231,24,3810,9572,58782,81904,21063902,21222333,1,2069,2069,60402,60402,5069,5069,1,50,12
323204,50,65285,100760,26,3162,6969,42283,53360,21063902,21222333,1,1708,1708,19321,19321,5069,5069,1,50,12
327379,50,70589,119362,20,2198,4020,45488,91490,21063902,21222333,1,643,643,27026,27026,5069,5069,1,50,12

