Application class: default
complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,Bavg,Bmax,users,dataSize,nCores
86749,19,3,20216,21327,257,282,22570,34650,88441396,132043751,1,250,20
70361,19,3,12183,13126,228,234,20782,32130,88441396,132043751,1,250,20
71450,19,3,12243,13283,247,263,21124,32564,88441396,132043751,1,250,20
72477,19,3,12056,13125,257,277,22046,33100,88441396,132043751,1,250,20
66386,19,3,12181,13001,234,250,20214,30715,88441396,132043751,1,250,20
72591,19,3,12086,12782,240,247,20792,32196,88441396,132043751,1,250,20
72257,19,3,12437,13759,241,260,21376,33638,88441396,132043751,1,250,20
67882,19,3,12325,13268,246,263,20772,30917,88441396,132043751,1,250,20
66906,19,3,12177,12992,229,243,19169,29128,88441396,132043751,1,250,20
67847,19,3,12122,13011,227,241,19974,29727,88441396,132043751,1,250,20
72220,19,3,12038,13065,232,238,21501,34062,88441396,132043751,1,250,20
74625,19,3,12204,12880,243,254,23192,34932,88441396,132043751,1,250,20
76211,19,3,14377,16409,249,300,21292,34052,88441396,132043751,1,250,20
74761,19,3,11860,12689,315,441,21940,34674,88441396,132043751,1,250,20
69671,19,3,12027,12868,231,236,20651,30695,88441396,132043751,1,250,20
77257,19,3,12173,12711,291,334,22593,34459,88441396,132043751,1,250,20
75635,19,3,12155,13356,237,266,22469,36883,88441396,132043751,1,250,20
70492,19,3,12177,13069,236,243,20389,31420,88441396,132043751,1,250,20
71362,19,3,12103,12528,338,551,20576,30959,88441396,132043751,1,250,20
72108,19,3,12032,12459,231,241,22281,33404,88441396,132043751,1,250,20

