Application class: default
complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,Bavg,Bmax,users,dataSize,nCores
725915,288,53,67320,71979,258,583,8277,61143,4208869,4581538,1,250,20
722489,288,53,67161,71423,289,680,8763,59380,4208869,4581538,1,250,20
724802,288,53,67229,72089,231,554,9032,60715,4208869,4581538,1,250,20
722737,288,53,67065,70275,281,1528,8718,58959,4208869,4581538,1,250,20
723863,288,53,67524,71115,268,662,8169,60217,4208869,4581538,1,250,20
595794,288,53,55424,70539,411,2418,4600,9968,4208869,4581538,1,250,20
715172,288,53,66299,70824,250,701,10285,55711,4208869,4581538,1,250,20
724119,288,53,67120,70791,260,907,9320,59989,4208869,4581538,1,250,20
714668,288,53,65855,71197,273,668,10465,53298,4208869,4581538,1,250,20
721388,288,53,67102,71122,271,686,8652,59591,4208869,4581538,1,250,20
721240,288,53,67342,71248,286,788,8934,60200,4208869,4581538,1,250,20
711864,288,53,66046,71354,314,1089,10484,54824,4208869,4581538,1,250,20
674657,288,53,62557,70632,272,860,10663,30827,4208869,4581538,1,250,20
694884,288,53,63892,69916,338,1157,13496,40533,4208869,4581538,1,250,20
715826,288,53,66810,71940,234,842,9202,58512,4208869,4581538,1,250,20
730497,288,53,68204,72230,261,646,8619,63802,4208869,4581538,1,250,20
723630,288,53,67389,70039,301,707,8818,61453,4208869,4581538,1,250,20
725819,288,53,67412,72122,279,853,9220,59644,4208869,4581538,1,250,20
725162,288,53,67621,70324,320,1004,8351,62694,4208869,4581538,1,250,20
727729,288,53,67847,72831,375,1408,8278,61708,4208869,4581538,1,250,20

