Application class: Q4
complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,Bavg,Bmax,users,dataSize,nCores
74974,19,3,16533,18420,271,323,18162,26987,88441396,132043751,1,250,40
71710,19,3,15632,17605,244,273,20523,31639,88441396,132043751,1,250,40
71522,19,3,11232,11712,234,244,21196,34112,88441396,132043751,1,250,40
65468,19,3,10951,11594,227,232,19739,29992,88441396,132043751,1,250,40
64443,19,3,10913,11741,234,252,19783,29792,88441396,132043751,1,250,40
64301,19,3,10930,11513,220,232,19417,28873,88441396,132043751,1,250,40
66300,19,3,11147,11681,240,255,20525,32658,88441396,132043751,1,250,40
64560,19,3,10888,11414,235,250,19304,28995,88441396,132043751,1,250,40
71793,19,3,11066,11604,272,317,19361,29441,88441396,132043751,1,250,40
68723,19,3,15287,17661,222,259,18832,27982,88441396,132043751,1,250,40

