Application class: default
complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,Bavg,Bmax,users,dataSize,nCores
768926,287,300,43816,82277,2050,3562,26963,570849,13791,22670,1,500,20
753026,287,300,41281,81128,1964,3440,27426,557923,13791,22670,1,500,20
779638,287,300,44150,82261,1839,2776,27067,584827,13791,22670,1,500,20
768601,287,300,43882,82435,2027,3289,26574,572898,13791,22670,1,500,20
760420,287,300,43248,79727,2032,3169,26556,566022,13791,22670,1,500,20
786263,287,300,44966,81286,1993,3557,27349,590494,13791,22670,1,500,20
738026,287,300,41823,81193,1920,3555,25634,541399,13791,22670,1,500,20
740929,287,300,41792,81515,2090,3849,25864,547485,13791,22670,1,500,20
765753,287,300,43226,82105,2221,10021,26283,560516,13791,22670,1,500,20
755962,287,300,42857,81511,1931,3143,26244,559147,13791,22670,1,500,20
768847,287,300,43872,82794,2056,4082,26616,571204,13791,22670,1,500,20
750395,287,300,41445,80107,2216,11544,25345,551569,13791,22670,1,500,20
780662,287,300,43736,81122,2003,3307,27039,575882,13791,22670,1,500,20
756104,287,300,42646,82723,1997,3969,26485,560709,13791,22670,1,500,20
780803,287,300,43308,81525,2266,10176,26803,578159,13791,22670,1,500,20
780764,287,300,44548,82942,2011,2903,26958,579615,13791,22670,1,500,20
770617,287,300,42767,81066,2427,10787,26600,566504,13791,22670,1,500,20
758006,287,300,42676,85456,2262,11077,25611,555041,13791,22670,1,500,20
775589,287,300,44287,81904,2038,3330,27049,578101,13791,22670,1,500,20
742279,287,300,41847,85006,2122,3427,26072,543149,13791,22670,1,500,20

