Application class: R2
complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,Bavg,Bmax,users,dataSize,nCores
74205,2,2,42515,59330,6132,6347,33044,33215,210663295,218968602,1,500,60
69774,2,2,40700,54817,6219,6434,27809,28150,210663295,218968602,1,500,60
67439,2,2,37628,52500,6000,6166,29800,29804,210663295,218968602,1,500,60
66987,2,2,39427,52613,6115,6258,25354,25498,210663295,218968602,1,500,60
71460,2,2,42209,56643,6130,6229,28334,28342,210663295,218968602,1,500,60
71682,2,2,44040,57439,6061,6176,26267,26377,210663295,218968602,1,500,60
70217,2,2,40967,55074,6191,6500,27968,28299,210663295,218968602,1,500,60
69674,2,2,39980,55161,6178,6329,30143,30310,210663295,218968602,1,500,60
73564,2,2,42209,58480,6121,6462,31300,31374,210663295,218968602,1,500,60
69448,2,2,41280,55141,6123,6417,26904,27358,210663295,218968602,1,500,60
72720,2,2,42786,57718,6242,6470,29811,30070,210663295,218968602,1,500,60
76652,2,2,44150,61706,6305,6315,34367,34426,210663295,218968602,1,500,60
72312,2,2,41137,57086,6507,6792,30771,31277,210663295,218968602,1,500,60
67244,2,2,39198,52206,6211,6399,24833,25387,210663295,218968602,1,500,60
75387,2,2,47942,60452,6211,6264,22280,22399,210663295,218968602,1,500,60
80907,2,2,42874,60003,9321,12737,33963,34426,210663295,218968602,1,500,60
78873,2,2,44610,63146,5880,6239,35839,36676,210663295,218968602,1,500,60
73416,2,2,41918,58659,6078,6257,32400,32603,210663295,218968602,1,500,60
72619,2,2,42062,56905,6137,6294,28985,29192,210663295,218968602,1,500,60
75641,2,2,43815,59968,6227,6402,31896,32327,210663295,218968602,1,500,60

