Application class: default
complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,Bavg,Bmax,users,dataSize,nCores
88567,4,4,57063,62149,9864,10423,22044,23510,280909832,280924591,1,250,20
87599,4,4,58854,67386,9530,9657,23542,25504,280909832,280924591,1,250,20
96356,4,4,62239,68584,10573,11280,24806,26175,280909832,280924591,1,250,20
91056,4,4,58480,68697,10336,10493,25942,27429,280909832,280924591,1,250,20
89901,4,4,58909,67081,10658,11202,22974,24646,280909832,280924591,1,250,20
90408,4,4,62444,67084,8972,9278,17609,19216,280909832,280924591,1,250,20
96339,4,4,60510,67819,14250,15311,23990,25871,280909832,280924591,1,250,20
89499,4,4,58974,64160,10204,11061,20267,21698,280909832,280924591,1,250,20
88753,4,4,57608,63832,9589,9781,24399,26029,280909832,280924591,1,250,20
85810,4,4,56381,60744,9554,9886,19375,20310,280909832,280924591,1,250,20
87366,4,4,59298,66731,9412,9905,20068,21418,280909832,280924591,1,250,20
84926,4,4,58181,64926,9281,9514,17225,18737,280909832,280924591,1,250,20
91938,4,4,61105,71221,9338,9626,26833,28355,280909832,280924591,1,250,20
88870,4,4,59315,67103,9397,10549,20617,22674,280909832,280924591,1,250,20
93377,4,4,59296,69754,10806,10924,27303,28983,280909832,280924591,1,250,20
94669,4,4,60848,69838,12390,13223,21817,23417,280909832,280924591,1,250,20
92355,4,4,62207,71320,9721,10496,25066,26616,280909832,280924591,1,250,20
94617,4,4,60212,65433,10766,11770,26100,27108,280909832,280924591,1,250,20
86191,4,4,56979,62575,9629,10744,17578,19122,280909832,280924591,1,250,20
89646,4,4,59631,67970,10168,10628,22743,24244,280909832,280924591,1,250,20

