Application class: default
complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,Bavg,Bmax,users,dataSize,nCores
5060242,64,68,1990823,4221862,20628,39970,254172,1558604,266512191,266551718,1,1000,20
5159488,64,68,2015002,4068162,22071,42170,272434,1696379,266512191,266551718,1,1000,20
4973412,64,68,1974108,4179564,12973,15932,238019,1636620,266512191,266551718,1,1000,20
5002234,64,68,1971723,4121974,20258,39317,246847,1535030,266512191,266551718,1,1000,20
4807017,64,68,1955712,4156969,19670,42375,178565,1186038,266512191,266551718,1,1000,20
4662668,64,68,1909807,4025988,20070,37010,160420,873593,266512191,266551718,1,1000,20
5024270,64,68,2007137,4199896,15765,28305,227372,1389147,266512191,266551718,1,1000,20
4827514,64,68,1996925,4268880,21649,41776,148210,776223,266512191,266551718,1,1000,20
4650069,64,68,1938473,4141981,19417,35285,129958,570093,266512191,266551718,1,1000,20
4789916,64,68,1946764,4140859,18725,37169,179734,1154279,266512191,266551718,1,1000,20
5113399,64,68,2009470,4088693,26126,47681,252991,1585886,266512191,266551718,1,1000,20
5258653,64,68,2084262,4439772,21506,42336,249211,1387999,266512191,266551718,1,1000,20
4189194,64,68,1671607,3537429,19133,36631,184428,1060929,266512191,266551718,1,1000,20
5249997,64,68,2042704,4236909,30734,65708,274265,1671016,266512191,266551718,1,1000,20
5003209,64,68,1981294,4216657,19873,37672,240270,1559941,266512191,266551718,1,1000,20
5008146,64,68,1968402,4265326,15509,27139,253792,1721197,266512191,266551718,1,1000,20
4720830,64,68,1910594,4001079,18650,33898,186648,1131851,266512191,266551718,1,1000,20
4598173,64,68,1886858,4040097,19389,36460,154046,996195,266512191,266551718,1,1000,20
5014036,64,68,1975223,4257781,19202,37572,250867,1722325,266512191,266551718,1,1000,20
5134083,64,68,2020935,4198422,16375,26384,259576,1615233,266512191,266551718,1,1000,20

