Application class: default
complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,Bavg,Bmax,users,dataSize,nCores
998816,381,400,41509,80307,2605,4123,26947,756478,9609,20955,1,250,20
1018291,381,400,42447,83858,2425,12091,25190,772132,9609,20955,1,250,20
991941,381,400,41041,82647,2622,4161,26638,747621,9609,20955,1,250,20
928219,381,400,37847,85517,2551,4026,25048,686087,9609,20955,1,250,20
994173,381,400,41115,84120,2856,11779,26474,746167,9609,20955,1,250,20
990728,381,400,41199,81343,2490,4092,25989,750506,9609,20955,1,250,20
980220,381,400,40433,78493,2446,4320,26054,746866,9609,20955,1,250,20
1047005,381,400,43723,83024,2492,3716,28023,802253,9609,20955,1,250,20
1028848,381,400,43188,81436,2656,4080,27485,783369,9609,20955,1,250,20
985814,381,400,40481,79634,2864,11210,26376,742674,9609,20955,1,250,20
1005142,381,400,41913,86570,2730,4135,27114,761525,9609,20955,1,250,20
1033145,381,400,41862,83826,2587,4280,29025,790878,9609,20955,1,250,20
922335,381,400,37632,86220,2631,4379,24938,678161,9609,20955,1,250,20
1004247,381,400,41155,89638,2898,11742,26782,755292,9609,20955,1,250,20
998046,381,400,41386,81947,2430,4022,26553,756520,9609,20955,1,250,20
1006279,381,400,41624,82099,2664,12149,26021,762336,9609,20955,1,250,20
1050073,381,400,43632,82334,2563,4043,28705,809627,9609,20955,1,250,20
1004312,381,400,42111,82834,2534,4133,26545,756188,9609,20955,1,250,20
977239,381,400,40283,83311,2713,12117,25140,731740,9609,20955,1,250,20
1026411,381,400,43070,85650,2475,4038,26780,779079,9609,20955,1,250,20

