Application class: default
complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,Bavg,Bmax,users,dataSize,nCores
4121370,1560,1009,41118,82540,2287,10710,48615,3240049,47384,85800,1,1000,20
4101772,1560,1009,41019,82326,2111,9485,48539,3244713,47384,85800,1,1000,20
4125928,1560,1009,40901,85195,2168,9424,49313,3233998,47384,85800,1,1000,20
4089910,1560,1009,40484,79748,2090,7270,48927,3200212,47384,85800,1,1000,20
4156610,1560,1009,41355,85348,2060,3904,49596,3255641,47384,85800,1,1000,20
4131716,1560,1009,41099,79458,2258,10054,48743,3251883,47384,85800,1,1000,20
4077523,1560,1009,40449,80879,2147,3740,48407,3197421,47384,85800,1,1000,20
4112185,1560,1009,41065,79684,2032,3756,48797,3237417,47384,85800,1,1000,20
4098845,1560,1009,40821,81352,2109,5494,48727,3219550,47384,85800,1,1000,20
4084350,1560,1009,40715,80599,2095,8070,48493,3206617,47384,85800,1,1000,20
4107924,1560,1009,40822,80939,2156,10396,48793,3232643,47384,85800,1,1000,20
4112145,1560,1009,40823,81959,2127,5334,49074,3231383,47384,85800,1,1000,20
4107093,1560,1009,41105,81546,2198,11070,48401,3208935,47384,85800,1,1000,20
4124122,1560,1009,41076,81465,2263,8376,48716,3244312,47384,85800,1,1000,20
4089917,1560,1009,40603,80841,2145,4043,48378,3208917,47384,85800,1,1000,20
4125589,1560,1009,40887,82990,2177,8095,49374,3226899,47384,85800,1,1000,20
4128080,1560,1009,41049,80111,2225,10633,48733,3260560,47384,85800,1,1000,20
4148325,1560,1009,41021,81892,2163,7908,49536,3204354,47384,85800,1,1000,20
4120852,1560,1009,40984,82906,2098,7559,49153,3233313,47384,85800,1,1000,20

