Application class: R4
complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,Bavg,Bmax,users,dataSize,nCores
794873,573,601,42886,87321,3042,4655,29471,579985,417964,434060,1,500,60
781705,573,601,43213,84659,3044,4915,28149,567585,417964,434060,1,500,60
788061,573,601,43402,85947,3191,4522,28946,572558,417964,434060,1,500,60
785792,573,601,43418,88354,3082,4425,28143,569487,417964,434060,1,500,60
787516,573,601,42901,84768,3081,4417,29010,571176,417964,434060,1,500,60
794485,573,601,43361,87836,3070,4627,29520,576776,417964,434060,1,500,60
787284,573,601,43335,86834,3140,4544,28972,569278,417964,434060,1,500,60
789348,573,601,43285,85411,3217,10678,28481,569100,417964,434060,1,500,60
796603,573,601,43464,87720,3169,4406,29770,577061,417964,434060,1,500,60
787952,573,601,43059,90586,3208,4516,28915,562942,417964,434060,1,500,60
783940,573,601,42509,86508,3054,4857,28986,565875,417964,434060,1,500,60
816086,573,601,44611,86444,3363,11625,29289,586132,417964,434060,1,500,60
781742,573,601,42947,86296,2992,4608,28492,565239,417964,434060,1,500,60
788618,573,601,42660,85410,3087,4990,29488,572040,417964,434060,1,500,60
794851,573,601,42490,81293,3086,12684,28226,573249,417964,434060,1,500,60
798800,573,601,42467,87764,3225,12277,28750,576999,417964,434060,1,500,60
782379,573,601,43025,87609,3299,12914,27163,560243,417964,434060,1,500,60
810029,573,601,43319,87658,3046,4876,31175,593372,417964,434060,1,500,60
796315,573,601,43966,87779,3113,4458,29150,574257,417964,434060,1,500,60
795515,573,601,43715,85775,3085,4405,28994,577481,417964,434060,1,500,60

