Application class: R5
complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,Bavg,Bmax,users,dataSize,nCores
22949,3,3,12040,13902,1349,1438,3559,3761,150,150,1,750,100
24952,3,3,13841,16210,1446,1454,4737,4792,150,150,1,750,100
23045,3,3,12496,14922,1244,1415,3465,3524,150,150,1,750,100
24800,3,3,13635,16131,1436,1455,4559,4688,150,150,1,750,100
24998,3,3,12105,13232,1463,1793,2793,3171,150,150,1,750,100
22431,3,3,12059,13850,1328,1419,3403,3484,150,150,1,750,100
23753,3,3,12180,14011,1390,1419,3016,3403,150,150,1,750,100
34527,3,3,16407,20648,1417,1422,8450,8694,150,150,1,750,100
24612,3,3,12828,15441,1441,1445,4001,4546,150,150,1,750,100
24791,3,3,13521,16020,1440,1454,5441,5732,150,150,1,750,100
32881,3,3,17858,23652,1409,1414,8286,8767,150,150,1,750,100
22701,3,3,11836,13620,1339,1437,3335,3581,150,150,1,750,100
24747,3,3,14006,16481,1444,1464,4695,4717,150,150,1,750,100
23474,3,3,12053,14811,1370,1448,5280,5582,150,150,1,750,100
24957,3,3,13665,16000,1439,1450,4742,4777,150,150,1,750,100
22815,3,3,12184,14099,1418,1433,3516,3763,150,150,1,750,100
22191,3,3,11642,13730,1427,1451,4414,4573,150,150,1,750,100
22304,3,3,11984,13947,1338,1426,3569,3719,150,150,1,750,100
25239,3,3,13841,16093,1733,1825,4577,4725,150,150,1,750,100
25590,3,3,13595,16098,1434,1455,4678,5086,150,150,1,750,100

