Application class: R2
complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,Bavg,Bmax,users,dataSize,nCores
79961,3,3,49185,61589,7148,7218,37555,38177,241637375,241656733,1,750,60
77421,3,3,48235,61138,7307,7780,34247,34549,241637375,241656733,1,750,60
84110,3,3,51308,67986,7147,7278,43193,43415,241637375,241656733,1,750,60
82419,3,3,48923,66201,7340,7588,41203,41330,241637375,241656733,1,750,60
78067,3,3,47791,61830,7092,7265,36241,36466,241637375,241656733,1,750,60
77806,3,3,47488,60664,7261,7379,36776,36883,241637375,241656733,1,750,60
77809,3,3,48476,61256,7184,7304,36669,36927,241637375,241656733,1,750,60
80346,3,3,46964,63136,7206,7246,41428,41450,241637375,241656733,1,750,60
78839,3,3,48600,61689,7335,7528,36523,36803,241637375,241656733,1,750,60
76744,3,3,49140,60684,7316,7552,33142,33369,241637375,241656733,1,750,60
79723,3,3,48703,60723,7513,8267,36565,36806,241637375,241656733,1,750,60
76338,3,3,48224,58668,7425,8072,31369,31546,241637375,241656733,1,750,60
87832,3,3,51523,64095,7206,7235,36030,36310,241637375,241656733,1,750,60
77668,3,3,46231,60712,7213,7364,36390,36493,241637375,241656733,1,750,60
75318,3,3,46268,58453,7178,7408,33783,33978,241637375,241656733,1,750,60
81143,3,3,51240,64052,7347,7594,36790,37100,241637375,241656733,1,750,60
86236,3,3,52645,69409,7100,7174,43135,43274,241637375,241656733,1,750,60
79153,3,3,49600,62734,7057,7133,36312,36479,241637375,241656733,1,750,60
85550,3,3,50653,68613,7346,7956,41725,42060,241637375,241656733,1,750,60
79317,3,3,49083,63166,7224,7603,34939,35468,241637375,241656733,1,750,60

