Application class: default
complTime,nM1,M1avg,M1max,nR2,R2avg,R2max,S2avg,S2max,S2Bavg,S2Bmax,nR3,R3avg,R3max,S3avg,S3max,S3Bavg,S3Bmax,nM4,M4avg,M4max,nR5,R5avg,R5max,S5avg,S5max,S5Bavg,S5Bmax,users,dataSize,nCores
204818,89,49302,112486,6,2967,4305,17957,18874,132693,132693,1,387,387,3339,3339,5311,5311,1,50378,50378,1,656,656,1087,1087,148443,148443,1,30,20
218234,89,49618,110488,7,3389,5902,21248,27040,132693,132693,1,1132,1132,10200,10200,5311,5311,1,67374,67374,1,4904,4904,8395,8395,148443,148443,1,30,20
230829,89,48476,107800,6,2620,4760,29575,31735,132693,132693,1,736,736,5196,5196,5311,5311,1,46298,46298,1,3072,3072,6029,6029,148443,148443,1,30,20
260523,89,51752,117646,6,2860,4257,27402,33119,132693,132693,1,748,748,18011,18011,5311,5311,1,56537,56537,1,3610,3610,9474,9474,148443,148443,1,30,20
237259,89,49920,107328,6,2790,3830,23356,32647,132693,132693,1,778,778,22012,22012,5311,5311,1,68777,68777,1,5496,5496,6358,6358,148443,148443,1,30,20
255209,89,47278,88648,6,1916,2959,37197,39243,132693,132693,1,337,337,11305,11305,5311,5311,1,65274,65274,1,3909,3909,8163,8163,148443,148443,1,30,20
267009,89,49597,106807,6,3871,6419,26818,30412,132693,132693,1,610,610,26974,26974,5311,5311,1,66338,66338,1,2186,2186,6707,6707,148443,148443,1,30,20
217027,89,43435,92356,6,1829,2761,22156,28946,132693,132693,1,1166,1166,11847,11847,5311,5311,1,62383,62383,1,3810,3810,4297,4297,148443,148443,1,30,20
214000,89,48594,110137,7,2692,5154,16111,20941,132693,132693,1,948,948,12002,12002,5311,5311,1,61407,61407,1,3125,3125,7146,7146,148443,148443,1,30,20
214106,89,46197,102418,7,3471,7805,22349,26799,132693,132693,1,1979,1979,14516,14516,5311,5311,1,63460,63460,1,2826,2826,8127,8127,148443,148443,1,30,20
201124,89,45415,87938,6,1446,2131,18168,22565,132693,132693,1,709,709,4368,4368,5311,5311,1,56143,56143,1,2987,2987,5444,5444,148443,148443,1,30,20
208361,89,48729,109307,6,3452,4205,20526,23948,132693,132693,1,220,220,6339,6339,5311,5311,1,63148,63148,1,2262,2262,7208,7208,148443,148443,1,30,20
230510,89,48717,108897,6,2767,3975,21028,23278,132693,132693,1,621,621,2995,2995,5311,5311,1,63962,63962,1,5957,5957,11239,11239,148443,148443,1,30,20
231066,89,47473,91674,6,2602,4420,19579,23604,132693,132693,1,296,296,9227,9227,5311,5311,1,59718,59718,1,2583,2583,7397,7397,148443,148443,1,30,20
222899,89,49723,119789,6,2144,4215,30066,33938,132693,132693,1,431,431,2612,2612,5311,5311,1,66862,66862,1,6238,6238,11615,11615,148443,148443,1,30,20
202341,89,47736,109989,6,3171,4173,15308,17562,132693,132693,1,762,762,2495,2495,5311,5311,1,50440,50440,1,3605,3605,7052,7052,148443,148443,1,30,20
201080,89,45272,83463,6,3133,4578,16734,19836,132693,132693,1,670,670,4919,4919,5311,5311,1,62460,62460,1,3812,3812,7432,7432,148443,148443,1,30,20
200991,89,46819,96548,6,2234,3682,16737,17783,132693,132693,1,861,861,2826,2826,5311,5311,1,63128,63128,1,2896,2896,7297,7297,148443,148443,1,30,20
200990,89,45156,100474,6,3455,5310,23423,28543,132693,132693,1,710,710,6137,6137,5311,5311,1,58692,58692,1,3891,3891,8774,8774,148443,148443,1,30,20
222772,89,46955,105575,6,4003,4443,32978,41963,132693,132693,1,514,514,3631,3631,5311,5311,1,49392,49392,1,5606,5606,5879,5879,148443,148443,1,30,20

