Application class: default
complTime,nM1,M1avg,M1max,nR2,R2avg,R2max,S2avg,S2max,S2Bavg,S2Bmax,nR3,R3avg,R3max,S3avg,S3max,S3Bavg,S3Bmax,nM4,M4avg,M4max,nR5,R5avg,R5max,S5avg,S5max,S5Bavg,S5Bmax,users,dataSize,nCores
175226,89,29304,80550,8,2294,4972,18888,26549,735923,3752078,1,977,977,16703,16703,5311,5311,1,57318,57318,1,554,554,1432,1432,148443,148443,1,30,20
175984,89,31596,83497,6,1990,3017,32151,38090,132693,132693,1,440,440,10020,10020,5311,5311,1,68881,68881,1,1462,1462,3830,3830,148443,148443,1,30,20
172661,89,27031,78245,6,1479,1969,44434,50899,132693,132693,1,857,857,4459,4459,5311,5311,1,67002,67002,1,653,653,1743,1743,148443,148443,1,30,20
179201,89,35560,84001,6,2910,4619,30326,34110,132693,132693,1,545,545,3832,3832,5311,5311,1,61776,61776,1,4139,4139,7890,7890,148443,148443,1,30,20
164512,89,30130,76824,7,1145,1778,17114,21849,132693,132693,1,770,770,15664,15664,5311,5311,1,60759,60759,1,1263,1263,1941,1941,148443,148443,1,30,20
203009,89,44145,94567,7,914,1756,14706,17687,132693,132693,1,1175,1175,10309,10309,5311,5311,1,74459,74459,1,3992,3992,5796,5796,148443,148443,1,30,20
177065,89,36845,83544,6,2288,6065,23402,29235,132693,132693,1,1248,1248,7041,7041,5311,5311,1,59152,59152,1,2413,2413,4607,4607,148443,148443,1,30,20
162737,89,26177,73007,7,1532,2042,18651,24630,132693,132693,1,366,366,12411,12411,5311,5311,1,62274,62274,1,2006,2006,2603,2603,148443,148443,1,30,20
157631,89,26994,80643,6,1356,1907,34678,36430,132693,132693,1,249,249,2738,2738,5311,5311,1,31345,31345,1,1984,1984,2753,2753,148443,148443,1,30,20
177769,89,27000,80488,9,1465,1843,24934,41273,737612,3762208,1,342,342,13087,13087,5311,5311,1,28171,28171,1,2701,2701,6559,6559,148443,148443,1,30,20
171388,89,28735,80376,6,1526,2077,29915,36478,132693,132693,1,708,708,12918,12918,5311,5311,1,27998,27998,1,1183,1183,2792,2792,148443,148443,1,30,20
170174,89,34432,82474,7,1731,3147,15171,18982,132693,132693,1,896,896,11615,11615,5311,5311,1,22845,22845,1,1279,1279,2160,2160,148443,148443,1,30,20
175472,89,36255,90451,6,2019,4630,20547,22013,132693,132693,1,264,264,3447,3447,5311,5311,1,44927,44927,1,4330,4330,9235,9235,148443,148443,1,30,20
178973,89,30280,89543,8,1264,3038,36416,49486,132693,132693,1,625,625,2582,2582,5311,5311,1,38132,38132,1,2319,2319,3164,3164,148443,148443,1,30,20
174650,89,30245,88743,6,1746,2321,39576,42380,132693,132693,1,839,839,1898,1898,5311,5311,1,35049,35049,1,2527,2527,3416,3416,148443,148443,1,30,20
211798,89,48216,100164,6,2596,3739,25071,28664,132693,132693,1,861,861,4841,4841,5311,5311,1,73371,73371,1,2638,2638,5929,5929,148443,148443,1,30,20
198389,89,41148,90114,6,1747,3683,22945,27678,132693,132693,1,830,830,4955,4955,5311,5311,1,43449,43449,1,1869,1869,1944,1944,148443,148443,1,30,20
201683,89,32758,82959,6,4009,4698,46292,53247,132693,132693,1,1323,1323,4159,4159,5311,5311,1,62784,62784,1,1280,1280,2546,2546,148443,148443,1,30,20
192151,89,41215,99478,6,2296,4406,27327,31179,132693,132693,1,606,606,4719,4719,5311,5311,1,75872,75872,1,1946,1946,3966,3966,148443,148443,1,30,20
186795,89,34798,94512,8,2498,5538,21856,31269,132693,132693,1,213,213,19212,19212,5311,5311,1,49609,49609,1,1654,1654,8454,8454,148443,148443,1,30,20

