Application class: default
complTime,nM1,M1avg,M1max,nR2,R2avg,R2max,S2avg,S2max,S2Bavg,S2Bmax,nR3,R3avg,R3max,S3avg,S3max,S3Bavg,S3Bmax,nM4,M4avg,M4max,nR5,R5avg,R5max,S5avg,S5max,S5Bavg,S5Bmax,users,dataSize,nCores
232779,80,46985,109523,8,5088,8755,35964,40688,172348,172348,1,370,370,5001,5001,7102,7102,1,48695,48695,1,3114,3114,7978,7978,190065,190065,1,40,4
239435,80,48879,112236,8,3122,4193,43082,49904,172348,172348,1,306,306,7801,7801,7102,7102,1,54549,54549,1,1133,1133,4804,4804,190065,190065,1,40,4
212324,80,47059,111661,8,3817,5141,25863,29631,172348,172348,1,226,226,4787,4787,7102,7102,1,43460,43460,1,4663,4663,6165,6165,190065,190065,1,40,4
223503,80,49903,111889,8,3817,5071,31108,32983,172348,172348,1,1520,1520,2000,2000,7102,7102,1,30045,30045,1,1816,1816,4919,4919,190065,190065,1,40,4
235295,80,47590,113582,8,4176,5030,40788,49140,172348,172348,1,336,336,5353,5353,7102,7102,1,51097,51097,1,4283,4283,8652,8652,190065,190065,1,40,4
229603,80,46699,106636,8,3233,5258,36207,40976,172348,172348,1,412,412,8083,8083,7102,7102,1,32367,32367,1,3495,3495,5419,5419,190065,190065,1,40,4
231729,80,48616,118389,8,4137,5679,43729,46665,172348,172348,1,446,446,6487,6487,7102,7102,1,21358,21358,1,4246,4246,4569,4569,190065,190065,1,40,4
231583,80,49866,126832,8,2567,3978,30491,35486,172348,172348,1,953,953,6832,6832,7102,7102,1,25741,25741,1,2261,2261,4157,4157,190065,190065,1,40,4
228275,80,46979,100572,8,3773,5373,29726,37188,172348,172348,1,311,311,4636,4636,7102,7102,1,23350,23350,1,3750,3750,3884,3884,190065,190065,1,40,4
221564,80,46765,83323,8,4750,7067,31831,37821,172348,172348,1,399,399,10945,10945,7102,7102,1,34088,34088,1,3210,3210,11029,11029,190065,190065,1,40,4
226389,80,46068,97167,9,3951,5338,29116,37097,172348,172348,1,511,511,9456,9456,7102,7102,1,35213,35213,1,4450,4450,4280,4280,190065,190065,1,40,4
228592,80,47559,112343,9,4038,6249,33255,40296,172348,172348,1,426,426,9521,9521,7102,7102,1,23258,23258,1,4034,4034,8138,8138,190065,190065,1,40,4
236344,80,48604,109171,8,3929,5368,29386,34020,172348,172348,1,1113,1113,5306,5306,7102,7102,1,42386,42386,1,3588,3588,9343,9343,190065,190065,1,40,4
228223,80,46327,90198,8,2533,3467,26959,34707,172348,172348,1,1748,1748,11583,11583,7102,7102,1,36638,36638,1,4353,4353,5658,5658,190065,190065,1,40,4
216009,80,46415,104064,8,3292,4385,28292,31324,172348,172348,1,888,888,2370,2370,7102,7102,1,44727,44727,1,2168,2168,6305,6305,190065,190065,1,40,4
242682,80,51975,138678,9,3113,4294,26154,31697,172348,172348,1,300,300,2907,2907,7102,7102,1,29713,29713,1,2472,2472,2844,2844,190065,190065,1,40,4
227184,80,45729,90810,8,3728,4740,35031,44594,172348,172348,1,277,277,5214,5214,7102,7102,1,27378,27378,1,3760,3760,6354,6354,190065,190065,1,40,4
257638,80,49178,107125,8,3603,5021,51949,62955,172348,172348,1,1250,1250,4996,4996,7102,7102,1,56927,56927,1,2882,2882,3347,3347,190065,190065,1,40,4
238814,80,47595,112741,8,4360,5187,41501,45986,172348,172348,1,565,565,12402,12402,7102,7102,1,27805,27805,1,5751,5751,7383,7383,190065,190065,1,40,4
227299,80,49589,127054,9,3578,6218,21016,29588,524308,2988035,1,685,685,10296,10296,7102,7102,1,38859,38859,1,1945,1945,3966,3966,190065,190065,1,40,4

