Application class: Q3
complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,Bavg,Bmax,users,dataSize,nCores
235479,50,1,64486,133075,12045,12045,31716,31716,3663,3663,1,50,3
227662,50,1,55882,114701,2531,2531,43878,43878,3663,3663,1,50,3
214616,50,1,57129,97108,2947,2947,26750,26750,3663,3663,1,50,3
215877,50,1,60185,113526,1052,1052,21312,21312,3663,3663,1,50,3
205774,50,1,55719,97766,2087,2087,11632,11632,3663,3663,1,50,3
213805,50,1,59479,105297,2746,2746,21760,21760,3663,3663,1,50,3
213393,50,1,58776,114397,5890,5890,31391,31391,3663,3663,1,50,3
214211,50,1,57593,93290,2682,2682,20254,20254,3663,3663,1,50,3
216093,50,1,58007,108928,3107,3107,38125,38125,3663,3663,1,50,3
208080,50,1,57970,104722,827,827,35804,35804,3663,3663,1,50,3
221472,50,1,58637,102633,4724,4724,23585,23585,3663,3663,1,50,3
216346,50,1,58343,111944,2066,2066,29469,29469,3663,3663,1,50,3
224541,50,1,58965,111607,3076,3076,29394,29394,3663,3663,1,50,3
227605,50,1,63816,108696,3183,3183,30511,30511,3663,3663,1,50,3
223080,50,1,60967,108858,2410,2410,31497,31497,3663,3663,1,50,3
228275,50,1,61237,102169,4050,4050,18107,18107,3663,3663,1,50,3
216426,50,1,59029,104883,5275,5275,25393,25393,3663,3663,1,50,3
211283,50,1,60100,106871,2940,2940,25707,25707,3663,3663,1,50,3
205095,50,1,58810,107898,3279,3279,19913,19913,3663,3663,1,50,3
225222,50,1,61655,108954,3103,3103,30776,30776,3663,3663,1,50,3

