Application class: Q2
complTime,nM1,M1avg,M1max,nR2,R2avg,R2max,S2avg,S2max,S2Bavg,S2Bmax,nR3,R3avg,R3max,S3avg,S3max,S3Bavg,S3Bmax,nM4,M4avg,M4max,nR5,R5avg,R5max,S5avg,S5max,S5Bavg,S5Bmax,users,dataSize,nCores
240300,69,57231,109470,10,2638,4041,44513,49966,205567,205567,1,762,762,8038,8038,8895,8895,1,45661,45661,1,2164,2164,3902,3902,224871,224871,1,50,4
234045,69,57294,119205,10,4018,5993,42301,47776,205567,205567,1,807,807,7571,7571,8895,8895,1,23694,23694,1,4221,4221,12631,12631,224871,224871,1,50,4
236849,69,56555,121204,10,3241,5758,37687,44308,205567,205567,1,1487,1487,5947,5947,8895,8895,1,54566,54566,1,4929,4929,6704,6704,224871,224871,1,50,4
252448,69,59228,116305,10,2868,6214,48912,60199,205567,205567,1,881,881,12059,12059,8895,8895,1,45266,45266,1,3298,3298,7535,7535,224871,224871,1,50,4
257225,69,57363,117913,10,4345,7069,62990,68836,205567,205567,1,874,874,7583,7583,8895,8895,1,37380,37380,1,6814,6814,17327,17327,224871,224871,1,50,4
225773,69,54826,96664,10,4106,7101,28584,33971,205567,205567,1,437,437,10624,10624,8895,8895,1,32365,32365,1,3094,3094,3324,3324,224871,224871,1,50,4
248365,69,58648,97454,11,2453,5864,41699,53449,205567,205567,1,206,206,9583,9583,8895,8895,1,50314,50314,1,3146,3146,6683,6683,224871,224871,1,50,4
242382,69,57515,95911,11,3054,5948,41152,55024,205567,205567,1,683,683,9714,9714,8895,8895,1,48639,48639,1,2387,2387,7111,7111,224871,224871,1,50,4
242512,69,53492,95881,10,2953,6464,52280,61365,205567,205567,1,663,663,8903,8903,8895,8895,1,41585,41585,1,3354,3354,12831,12831,224871,224871,1,50,4
238612,69,58258,118342,10,2321,3697,41599,47414,205567,205567,1,251,251,9005,9005,8895,8895,1,61801,61801,1,3875,3875,6960,6960,224871,224871,1,50,4
250297,69,60843,127877,10,3004,4763,46452,53901,205567,205567,1,332,332,7953,7953,8895,8895,1,31798,31798,1,4158,4158,13841,13841,224871,224871,1,50,4
235532,69,55610,94802,10,1648,2197,44724,53473,205567,205567,1,871,871,19128,19128,8895,8895,1,43455,43455,1,2010,2010,7537,7537,224871,224871,1,50,4
240391,69,53853,112506,10,4034,5599,51012,58719,205567,205567,1,695,695,13744,13744,8895,8895,1,57970,57970,1,932,932,4887,4887,224871,224871,1,50,4
227953,69,56139,96158,10,2859,5608,26888,35525,205567,205567,1,316,316,13592,13592,8895,8895,1,34648,34648,1,2450,2450,2624,2624,224871,224871,1,50,4
248211,69,59651,125272,10,2541,3624,34348,42655,205567,205567,1,838,838,14692,14692,8895,8895,1,60746,60746,1,1154,1154,6555,6555,224871,224871,1,50,4
286826,69,58915,116460,10,4813,7416,83022,88626,205567,205567,1,672,672,7163,7163,8895,8895,1,59815,59815,1,1683,1683,1731,1731,224871,224871,1,50,4
265601,69,61847,122054,10,2254,4677,53416,64825,205567,205567,1,243,243,13298,13298,8895,8895,1,60718,60718,1,3494,3494,6713,6713,224871,224871,1,50,4
246225,69,59014,122133,10,3416,6623,57417,60148,205567,205567,1,285,285,8454,8454,8895,8895,1,48892,48892,1,2258,2258,2400,2400,224871,224871,1,50,4
257452,69,61481,136353,10,2929,4527,53878,63712,205567,205567,1,409,409,11322,11322,8895,8895,1,28632,28632,1,5939,5939,9673,9673,224871,224871,1,50,4
242630,69,58945,120241,10,3610,4637,57534,60267,205567,205567,1,255,255,4799,4799,8895,8895,1,44885,44885,1,4791,4791,6663,6663,224871,224871,1,50,4

