Application class: Q2
complTime,nM1,M1avg,M1max,nR2,R2avg,R2max,S2avg,S2max,S2Bavg,S2Bmax,nR3,R3avg,R3max,S3avg,S3max,S3Bavg,S3Bmax,nM4,M4avg,M4max,nR5,R5avg,R5max,S5avg,S5max,S5Bavg,S5Bmax,users,dataSize,nCores
322935,100,70687,148507,10,2192,3588,57248,63516,205567,205567,1,3343,3343,10691,10691,8895,8895,1,36772,36772,1,1689,1689,4669,4669,224871,224871,1,50,5
362581,100,61071,175163,10,1855,2679,50407,55244,205567,205567,1,1845,1845,23275,23275,8895,8895,1,28085,28085,1,3257,3257,7980,7980,224871,224871,1,50,5
445684,100,74720,207042,10,3136,3836,59066,61045,205567,205567,1,1821,1821,30082,30082,8895,8895,1,33575,33575,1,2907,2907,2502,2502,224871,224871,1,50,5
374523,100,57367,106419,10,3692,6653,41850,53683,205567,205567,1,582,582,16451,16451,8895,8895,1,36398,36398,1,3269,3269,4935,4935,224871,224871,1,50,5
374609,100,61901,162443,11,2929,5859,62212,71496,205567,205567,1,252,252,12526,12526,8895,8895,1,44026,44026,1,2754,2754,3397,3397,224871,224871,1,50,5
397228,100,56281,125673,11,3510,9574,68865,81493,205567,205567,1,324,324,15117,15117,8895,8895,1,43395,43395,1,1893,1893,3482,3482,224871,224871,1,50,5
343825,100,66289,148148,12,1700,2967,37466,49174,870823,3552363,1,288,288,24335,24335,8895,8895,1,37423,37423,1,1897,1897,4849,4849,224871,224871,1,50,5
391808,100,63549,142568,11,6602,18175,45982,55151,540171,3551611,1,761,761,14217,14217,8895,8895,1,42306,42306,1,1414,1414,6834,6834,224871,224871,1,50,5
296138,100,61091,162720,13,3975,8620,29216,37392,541484,3564738,1,501,501,21964,21964,8895,8895,1,33724,33724,1,603,603,1683,1683,224871,224871,1,50,5
290341,100,53690,130910,10,2952,4153,45613,52191,205567,205567,1,679,679,19385,19385,8895,8895,1,81134,81134,1,1525,1525,7174,7174,224871,224871,1,50,5
273841,100,53080,133062,11,4516,8687,42482,49244,205567,205567,1,315,315,4723,4723,8895,8895,1,32053,32053,1,2088,2088,7285,7285,224871,224871,1,50,5
263103,100,44675,106090,11,3031,3942,33352,46849,205567,205567,1,669,669,17413,17413,8895,8895,1,45937,45937,1,1510,1510,5584,5584,224871,224871,1,50,5
271007,100,52478,117755,11,1646,2876,59227,75638,540381,3553708,1,468,468,20725,20725,8895,8895,1,31413,31413,1,5192,5192,6303,6303,224871,224871,1,50,5
222705,100,43727,98767,12,2787,4513,27271,33388,536144,3511338,1,360,360,7273,7273,8895,8895,1,44399,44399,1,2810,2810,3185,3185,224871,224871,1,50,5
250722,100,44691,95062,10,3914,5007,60444,72575,205567,205567,1,892,892,12709,12709,8895,8895,1,22705,22705,1,4313,4313,12850,12850,224871,224871,1,50,5
240479,100,43096,102500,11,4319,6229,49614,63635,205567,205567,1,3726,3726,17872,17872,8895,8895,1,31397,31397,1,4268,4268,9596,9596,224871,224871,1,50,5
225571,100,45012,109333,12,2817,5269,34698,48464,540381,3553708,1,498,498,13056,13056,8895,8895,1,36205,36205,1,5860,5860,5560,5560,224871,224871,1,50,5
227213,100,45360,93108,10,3791,6586,40926,47045,205567,205567,1,399,399,11733,11733,8895,8895,1,29950,29950,1,3827,3827,7823,7823,224871,224871,1,50,5
227447,100,47143,107930,10,3941,5380,31232,39141,205567,205567,1,329,329,11887,11887,8895,8895,1,36315,36315,1,5330,5330,9474,9474,224871,224871,1,50,5
237416,100,46835,109984,13,3318,6021,34829,48031,540246,3552363,1,338,338,13440,13440,8895,8895,1,39231,39231,1,4695,4695,9855,9855,224871,224871,1,50,5

