Application class: default
complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,Bavg,Bmax,users,dataSize,nCores
191093,67,1,67475,122524,1744,1744,26093,26093,4870,4870,1,50,5
169815,67,1,51554,94773,4861,4861,27888,27888,4870,4870,1,50,5
173683,67,1,50681,96416,3751,3751,35626,35626,4870,4870,1,50,5
173069,67,1,48512,99494,4686,4686,46523,46523,4870,4870,1,50,5
170627,67,1,46782,94158,3858,3858,50866,50866,4870,4870,1,50,5
146227,67,1,38709,63475,3923,3923,28525,28525,4870,4870,1,50,5
146277,67,1,42636,85894,4566,4566,30791,30791,4870,4870,1,50,5
146255,67,1,34425,50019,3992,3992,40447,40447,4870,4870,1,50,5
140182,67,1,38897,65291,3854,3854,33410,33410,4870,4870,1,50,5
134473,67,1,33957,54775,3108,3108,29884,29884,4870,4870,1,50,5
154026,67,1,45225,84247,3295,3295,38406,38406,4870,4870,1,50,5
147942,67,1,37357,60239,1505,1505,38400,38400,4870,4870,1,50,5
140566,67,1,41478,81274,1560,1560,27257,27257,4870,4870,1,50,5
143401,67,1,35989,59372,2985,2985,39184,39184,4870,4870,1,50,5
150896,67,1,40731,70750,3307,3307,35106,35106,4870,4870,1,50,5
142086,67,1,38862,71769,2253,2253,30851,30851,4870,4870,1,50,5
149281,67,1,36745,58632,2334,2334,42457,42457,4870,4870,1,50,5
165098,67,1,41246,77816,4434,4434,41613,41613,4870,4870,1,50,5
168169,67,1,42739,80708,4047,4047,48909,48909,4870,4870,1,50,5
151387,67,1,41227,66298,1704,1704,33260,33260,4870,4870,1,50,5

