Application class: Q4
complTime,nM1,M1avg,M1max,nR2,R2avg,R2max,S2avg,S2max,S2Bavg,S2Bmax,nR3,R3avg,R3max,S3avg,S3max,S3Bavg,S3Bmax,users,dataSize,nCores
210187,92,39371,96990,12,3164,6077,48243,62165,25731673,25929208,1,204,204,17828,17828,5069,5069,1,50,5
186928,92,29435,57297,12,2026,6013,55709,67069,25731673,25929208,1,269,269,13935,13935,5069,5069,1,50,5
176134,92,31126,62502,12,1748,2681,38050,45021,25731673,25929208,1,278,278,9563,9563,5069,5069,1,50,5
194017,92,31623,56444,12,3556,5942,47148,65107,25731673,25929208,1,343,343,22073,22073,5069,5069,1,50,5
172682,92,31840,69781,12,2720,5475,43215,47713,25731673,25929208,1,236,236,6671,6671,5069,5069,1,50,5
167094,92,30522,58286,12,2580,5253,40458,47816,25731673,25929208,1,262,262,6396,6396,5069,5069,1,50,5
201567,92,35347,65054,12,3467,4980,54720,77164,25731673,25929208,1,218,218,32415,32415,5069,5069,1,50,5
176838,92,31691,60552,12,2352,3878,47708,58487,25731673,25929208,1,309,309,10637,10637,5069,5069,1,50,5
193169,92,32677,76448,12,1970,3330,49540,66032,25731673,25929208,1,258,258,26040,26040,5069,5069,1,50,5
188257,92,33092,76359,12,2182,3446,43697,51873,25731673,25929208,1,272,272,8605,8605,5069,5069,1,50,5
189193,92,32139,69952,12,2435,4578,49359,63764,25731673,25929208,1,262,262,18372,18372,5069,5069,1,50,5
189425,92,33726,68401,12,2968,4479,47885,60669,25731673,25929208,1,275,275,10738,10738,5069,5069,1,50,5
198208,92,34722,83997,12,2583,5408,51022,59876,25731673,25929208,1,273,273,6975,6975,5069,5069,1,50,5
192256,92,31469,66921,12,2808,4412,49988,64257,25731673,25929208,1,187,187,24092,24092,5069,5069,1,50,5
172621,92,30156,56547,12,2279,3526,38695,45189,25731673,25929208,1,786,786,12067,12067,5069,5069,1,50,5
172468,92,29971,56134,12,2565,4492,47012,53834,25731673,25929208,1,246,246,4470,4470,5069,5069,1,50,5
189595,92,30547,63006,12,1914,3667,51028,69854,25731673,25929208,1,190,190,28626,28626,5069,5069,1,50,5
176334,92,33667,59338,12,2920,6390,40285,53194,25731673,25929208,1,229,229,3569,3569,5069,5069,1,50,5
197057,92,34244,69249,12,2340,3663,49710,56394,25731673,25929208,1,268,268,12988,12988,5069,5069,1,50,5
189620,92,32025,64938,12,2111,3793,57178,70929,25731673,25929208,1,337,337,13862,13862,5069,5069,1,50,5

