Application class: default
complTime,nM1,M1avg,M1max,nR2,R2avg,R2max,S2avg,S2max,S2Bavg,S2Bmax,nR3,R3avg,R3max,S3avg,S3max,S3Bavg,S3Bmax,nM4,M4avg,M4max,nR5,R5avg,R5max,S5avg,S5max,S5Bavg,S5Bmax,users,dataSize,nCores
238047,100,44978,105350,12,1237,1852,36448,45235,540171,3551611,1,724,724,9295,9295,8895,8895,1,47277,47277,1,4878,4878,13988,13988,224871,224871,1,50,5
238174,100,48709,112426,11,2189,4054,28858,37836,205567,205567,1,614,614,9674,9674,8895,8895,1,42731,42731,1,1406,1406,3431,3431,224871,224871,1,50,5
262170,100,56420,127234,10,4975,6895,36684,45446,205567,205567,1,2535,2535,10615,10615,8895,8895,1,54538,54538,1,5309,5309,7159,7159,224871,224871,1,50,5
237010,100,47726,110581,10,1969,2874,33880,45714,205567,205567,1,343,343,23347,23347,8895,8895,1,57578,57578,1,2189,2189,6134,6134,224871,224871,1,50,5
244240,100,50258,121545,10,3093,5593,33636,35621,205567,205567,1,401,401,7782,7782,8895,8895,1,68532,68532,1,1553,1553,2705,2705,224871,224871,1,50,5
253093,100,52506,129592,10,4063,5895,36242,42319,205567,205567,1,330,330,9737,9737,8895,8895,1,39019,39019,1,4232,4232,7404,7404,224871,224871,1,50,5
256121,100,55232,122828,10,1851,3145,31129,35699,205567,205567,1,412,412,6695,6695,8895,8895,1,71366,71366,1,4589,4589,4384,4384,224871,224871,1,50,5
252425,100,43705,104969,11,1579,2956,41485,57038,205567,205567,1,1103,1103,20874,20874,8895,8895,1,50823,50823,1,2247,2247,4058,4058,224871,224871,1,50,5
254177,100,50200,114694,12,2109,3538,29940,38586,540171,3551611,1,985,985,10403,10403,8895,8895,1,64162,64162,1,1509,1509,2425,2425,224871,224871,1,50,5
239753,100,47535,106482,12,2125,6298,25308,35358,872504,3569175,1,281,281,5723,5723,8895,8895,1,77764,77764,1,2033,2033,2966,2966,224871,224871,1,50,5
239351,100,50222,127446,10,2216,3635,29019,34256,205567,205567,1,265,265,5115,5115,8895,8895,1,56951,56951,1,3054,3054,4014,4014,224871,224871,1,50,5
273127,100,58173,137114,11,2761,7171,33726,41543,205567,205567,1,227,227,8198,8198,8895,8895,1,68107,68107,1,4986,4986,9484,9484,224871,224871,1,50,5
239804,100,52018,124563,11,1225,2549,23275,27789,205567,205567,1,253,253,8880,8880,8895,8895,1,71409,71409,1,2019,2019,2567,2567,224871,224871,1,50,5
274213,100,61006,135402,10,3391,5845,23979,27019,205567,205567,1,296,296,7681,7681,8895,8895,1,66058,66058,1,3066,3066,5272,5272,224871,224871,1,50,5
253535,100,54299,134625,10,3012,5462,31159,36110,205567,205567,1,229,229,6023,6023,8895,8895,1,81008,81008,1,4514,4514,5560,5560,224871,224871,1,50,5
258097,100,59640,129441,10,2602,4494,24900,28515,205567,205567,1,502,502,4109,4109,8895,8895,1,67591,67591,1,4451,4451,11437,11437,224871,224871,1,50,5
259353,100,55945,126266,10,1377,2114,30642,35903,205567,205567,1,399,399,8380,8380,8895,8895,1,73185,73185,1,1834,1834,2988,2988,224871,224871,1,50,5
259932,100,53805,104961,11,4164,6636,31539,45793,537217,3522076,1,319,319,16200,16200,8895,8895,1,54348,54348,1,5379,5379,9297,9297,224871,224871,1,50,5
305999,100,60561,138601,11,4859,7313,46855,68317,205567,205567,1,876,876,20294,20294,8895,8895,1,70437,70437,1,4822,4822,10278,10278,224871,224871,1,50,5
239853,100,48258,107427,12,2397,3938,28063,37763,205567,205567,1,841,841,16177,16177,8895,8895,1,67083,67083,1,737,737,2143,2143,224871,224871,1,50,5

