Application class: Q4
complTime,nM1,M1avg,M1max,nR2,R2avg,R2max,S2avg,S2max,S2Bavg,S2Bmax,nR3,R3avg,R3max,S3avg,S3max,S3Bavg,S3Bmax,users,dataSize,nCores
280714,93,63772,126009,12,4137,5056,51376,63588,25850262,26048422,1,290,290,19556,19556,5069,5069,1,50,5
274679,93,61328,141490,12,3414,6122,56110,65354,25850262,26048422,1,282,282,11897,11897,5069,5069,1,50,5
264485,93,56946,125555,12,3858,4968,51738,64675,25850262,26048422,1,296,296,18572,18572,5069,5069,1,50,5
277061,93,58267,137955,12,3303,4747,58661,79855,25850262,26048422,1,298,298,19066,19066,5069,5069,1,50,5
295337,93,60117,130039,12,3611,4829,67185,91059,25850262,26048422,1,307,307,32659,32659,5069,5069,1,50,5
262702,93,56099,139409,12,3339,4507,55975,66393,25850262,26048422,1,327,327,7963,7963,5069,5069,1,50,5
262303,93,55327,136936,12,3897,6812,52416,65892,25850262,26048422,1,257,257,20506,20506,5069,5069,1,50,5
268989,93,61942,143483,12,4361,8237,48956,58470,25850262,26048422,1,264,264,9007,9007,5069,5069,1,50,5
287378,93,60411,136804,12,4959,7400,59835,80112,25850262,26048422,1,259,259,30004,30004,5069,5069,1,50,5
266476,93,60981,123347,12,3690,4918,49281,57124,25850262,26048422,1,274,274,10825,10825,5069,5069,1,50,5
278243,93,58276,139882,12,3504,5838,65272,79761,25850262,26048422,1,437,437,11470,11470,5069,5069,1,50,5
286566,93,59937,139288,12,3570,6920,64246,77312,25850262,26048422,1,324,324,17360,17360,5069,5069,1,50,5
269619,93,60798,133995,12,3993,4923,54272,60840,25850262,26048422,1,297,297,7689,7689,5069,5069,1,50,5
257170,93,52128,132389,12,3875,6564,60246,76158,25850262,26048422,1,286,286,18714,18714,5069,5069,1,50,5
279235,93,66480,139966,12,4264,7104,53573,63239,25850262,26048422,1,264,264,9288,9288,5069,5069,1,50,5
283422,93,57709,139484,12,3306,5666,66521,85440,25850262,26048422,1,342,342,14208,14208,5069,5069,1,50,5
273606,93,60544,149617,12,3764,6052,53680,62052,25850262,26048422,1,304,304,10595,10595,5069,5069,1,50,5
252023,93,54370,123192,12,3660,4676,55672,63583,25850262,26048422,1,265,265,7011,7011,5069,5069,1,50,5
265692,93,57637,129920,12,3376,5492,58122,69617,25850262,26048422,1,265,265,16451,16451,5069,5069,1,50,5
265611,93,55783,137290,12,3968,6705,59532,71566,25850262,26048422,1,508,508,6976,6976,5069,5069,1,50,5

